Bext,Bscat,Babs
0.00889368,0.001100915,0.007792765
0.008922497,0.001119489,0.007803008
0.008951347,0.001138217,0.00781313
0.008980225,0.001157099,0.007823126
0.009009127,0.001176133,0.007832994
0.009038048,0.001195317,0.007842731
0.009066983,0.001214649,0.007852334
0.009095927,0.001234127,0.0078618
0.009124875,0.001253749,0.007871126
0.009153823,0.001273513,0.00788031
0.009182765,0.001293416,0.007889349
0.009211697,0.001313457,0.00789824
0.009240613,0.001333633,0.00790698
0.009269508,0.001353942,0.007915566
0.009298377,0.001374381,0.007923996
0.009327215,0.001394947,0.007932268
0.009356016,0.001415639,0.007940378
0.009384776,0.001436452,0.007948324
0.009413489,0.001457386,0.007956103
0.00944215,0.001478436,0.007963713
0.009470752,0.0014996,0.007971152
0.009499292,0.001520875,0.007978417
0.009527763,0.001542258,0.007985505
0.00955616,0.001563746,0.007992414
0.009584478,0.001585336,0.007999143
0.009612711,0.001607024,0.008005688
0.009640854,0.001628807,0.008012047
0.0096689,0.001650682,0.008018218
0.009696845,0.001672645,0.0080242
0.009724683,0.001694693,0.00802999
0.009752408,0.001716823,0.008035585
0.009780016,0.001739031,0.008040985
0.0098075,0.001761313,0.008046186
0.009834854,0.001783666,0.008051188
0.009862074,0.001806085,0.008055989
0.009889153,0.001828568,0.008060586
0.009916087,0.00185111,0.008064977
0.00994287,0.001873707,0.008069163
0.009969495,0.001896356,0.00807314
0.009995959,0.001919052,0.008076907
0.010022254,0.001941791,0.008080463
0.010048377,0.00196457,0.008083806
0.010074321,0.001987385,0.008086936
0.010100081,0.00201023,0.00808985
0.010125651,0.002033103,0.008092548
0.010151027,0.002055998,0.008095029
0.010176203,0.002078912,0.008097291
0.010201174,0.002101841,0.008099333
0.010225935,0.002124779,0.008101155
0.01025048,0.002147723,0.008102756
0.010274804,0.002170669,0.008104135
0.010298903,0.002193612,0.008105291
0.010322771,0.002216548,0.008106223
0.010346404,0.002239472,0.008106932
0.010369796,0.00226238,0.008107416
0.010392942,0.002285267,0.008107675
0.010415839,0.00230813,0.008107709
0.010438481,0.002330964,0.008107517
0.010460864,0.002353765,0.008107099
0.010482983,0.002376527,0.008106456
0.010504833,0.002399247,0.008105586
0.010526411,0.00242192,0.00810449
0.010547711,0.002444543,0.008103169
0.010568731,0.002467109,0.008101621
0.010589464,0.002489616,0.008099848
0.010609909,0.002512059,0.008097849
0.010630059,0.002534434,0.008095626
0.010649913,0.002556736,0.008093177
0.010669465,0.00257896,0.008090504
0.010688712,0.002601104,0.008087608
0.010707651,0.002623162,0.008084489
0.010726277,0.00264513,0.008081147
0.010744588,0.002667005,0.008077583
0.01076258,0.002688782,0.008073798
0.010780251,0.002710457,0.008069794
0.010797596,0.002732026,0.00806557
0.010814613,0.002753485,0.008061128
0.010831299,0.002774831,0.008056468
0.010847651,0.002796058,0.008051593
0.010863667,0.002817165,0.008046502
0.010879343,0.002838145,0.008041198
0.010894678,0.002858997,0.00803568
0.010909669,0.002879717,0.008029952
0.010924313,0.0029003,0.008024014
0.01093861,0.002920743,0.008017867
0.010952555,0.002941043,0.008011513
0.010966149,0.002961196,0.008004953
0.010979388,0.002981199,0.007998189
0.010992272,0.003001049,0.007991223
0.011004798,0.003020743,0.007984055
0.011016965,0.003040277,0.007976688
0.011028772,0.003059648,0.007969124
0.011040218,0.003078854,0.007961364
0.0110513,0.003097891,0.007953409
0.01106202,0.003116757,0.007945263
0.011072374,0.003135449,0.007936926
0.011082363,0.003153964,0.0079284
0.011091987,0.003172299,0.007919687
0.011101243,0.003190453,0.00791079
0.011110133,0.003208423,0.00790171
0.011118655,0.003226206,0.007892449
0.011126809,0.0032438,0.007883009
0.011134596,0.003261204,0.007873392
0.011142014,0.003278414,0.0078636
0.011149065,0.003295429,0.007853636
0.011155749,0.003312248,0.007843501
0.011162065,0.003328867,0.007833198
0.011168014,0.003345287,0.007822728
0.011173597,0.003361504,0.007812094
0.011178814,0.003377517,0.007801297
0.011183666,0.003393325,0.007790341
0.011188154,0.003408927,0.007779227
0.011192278,0.003424321,0.007767958
0.01119604,0.003439506,0.007756535
0.011199441,0.00345448,0.007744961
0.011202482,0.003469244,0.007733238
0.011205163,0.003483795,0.007721368
0.011207488,0.003498134,0.007709354
0.011209456,0.003512258,0.007697197
0.01121107,0.003526169,0.007684901
0.011212331,0.003539864,0.007672467
0.011213241,0.003553343,0.007659897
0.011213801,0.003566607,0.007647194
0.011214014,0.003579654,0.007634361
0.011213882,0.003592484,0.007621398
0.011213406,0.003605097,0.007608309
0.01121259,0.003617494,0.007595096
0.011211434,0.003629673,0.007581761
0.011209941,0.003641635,0.007568306
0.011208114,0.00365338,0.007554734
0.011205955,0.003664908,0.007541047
0.011203466,0.003676219,0.007527247
0.01120065,0.003687315,0.007513336
0.011197511,0.003698194,0.007499317
0.011194049,0.003708858,0.007485191
0.011190269,0.003719307,0.007470962
0.011186172,0.003729541,0.007456631
0.011181763,0.003739562,0.007442201
0.011177043,0.003749369,0.007427674
0.011172016,0.003758964,0.007413052
0.011166685,0.003768348,0.007398337
0.011161053,0.003777521,0.007383532
0.011155123,0.003786484,0.007368639
0.011148899,0.003795239,0.00735366
0.011142383,0.003803786,0.007338597
0.011135579,0.003812127,0.007323452
0.01112849,0.003820262,0.007308229
0.01112112,0.003828192,0.007292928
0.011113473,0.00383592,0.007277553
0.011105551,0.003843446,0.007262105
0.011097358,0.003850772,0.007246586
0.011088898,0.003857898,0.007231
0.011080174,0.003864827,0.007215347
0.01107119,0.00387156,0.007199631
0.01106195,0.003878098,0.007183853
0.011052458,0.003884443,0.007168015
0.011042717,0.003890596,0.007152121
0.011032731,0.003896559,0.007136171
0.011022503,0.003902334,0.007120169
0.011012038,0.003907922,0.007104116
0.01100134,0.003913325,0.007088015
0.010990412,0.003918545,0.007071868
0.010979259,0.003923583,0.007055676
0.010967884,0.003928441,0.007039443
0.010956291,0.003933121,0.00702317
0.010944484,0.003937625,0.007006859
0.010932468,0.003941955,0.006990513
0.010920245,0.003946111,0.006974134
0.010907821,0.003950098,0.006957724
0.0108952,0.003953915,0.006941285
0.010882385,0.003957566,0.006924819
0.01086938,0.003961051,0.006908329
0.010856189,0.003964374,0.006891816
0.010842818,0.003967535,0.006875283
0.010829269,0.003970538,0.006858731
0.010815547,0.003973383,0.006842164
0.010801655,0.003976073,0.006825583
0.010787599,0.00397861,0.006808989
0.010773382,0.003980995,0.006792387
0.010759008,0.003983232,0.006775776
0.010744482,0.003985322,0.00675916
0.010729806,0.003987266,0.006742541
0.010714987,0.003989067,0.00672592
0.010700027,0.003990728,0.006709299
0.010684931,0.003992249,0.006692682
0.010669702,0.003993633,0.006676069
0.010654346,0.003994883,0.006659463
0.010638865,0.003995999,0.006642866
0.010623264,0.003996985,0.006626279
0.010607547,0.003997842,0.006609705
0.010591718,0.003998572,0.006593146
0.010575782,0.003999178,0.006576604
