Qext,Qsca,Qabs
0.872272868,0.088086422,0.784186446
0.880820437,0.09033852,0.790481917
0.889414705,0.092630182,0.796784522
0.89805546,0.094961673,0.803093787
0.906742476,0.097333246,0.80940923
0.915475508,0.099745148,0.81573036
0.924254294,0.102197615,0.822056679
0.933078556,0.104690875,0.828387681
0.941947996,0.107225144,0.834722852
0.950862299,0.10980063,0.84106167
0.959821134,0.11241753,0.847403604
0.968824149,0.115076029,0.85374812
0.977870975,0.117776304,0.860094671
0.986961225,0.120518518,0.866442707
0.996094494,0.123302824,0.87279167
1.005270358,0.126129362,0.879140996
1.014488373,0.128998262,0.885490111
1.02374808,0.13190964,0.89183844
1.033048996,0.134863599,0.898185397
1.042390625,0.137860232,0.904530393
1.051772447,0.140899615,0.910872833
1.061193928,0.143981813,0.917212114
1.07065451,0.147106879,0.923547632
1.080153621,0.150274848,0.929878773
1.089690667,0.153485745,0.936204923
1.099265037,0.156739577,0.94252546
1.1088761,0.16003634,0.948839759
1.118523206,0.163376014,0.955147192
1.128205688,0.166758563,0.961447125
1.137922859,0.170183937,0.967738922
1.147674014,0.17365207,0.974021943
1.15745843,0.177162882,0.980295547
1.167275364,0.180716276,0.986559088
1.177124059,0.184312139,0.99281192
1.187003735,0.187950343,0.999053392
1.196913597,0.191630743,1.005282854
1.206852832,0.195353179,1.011499653
1.21682061,0.199117473,1.017703137
1.226816083,0.202923432,1.02389265
1.236838385,0.206770846,1.030067539
1.246886637,0.210659488,1.036227149
1.256959939,0.214589113,1.042370826
1.267057378,0.218559463,1.048497915
1.277178024,0.22257026,1.054607764
1.28732093,0.226621209,1.060699721
1.297485137,0.230712001,1.066773137
1.307669669,0.234842307,1.072827362
1.317873534,0.239011782,1.078861752
1.328095729,0.243220065,1.084875664
1.338335235,0.247466779,1.090868456
1.34859102,0.251751527,1.096839493
1.358862038,0.256073897,1.10278814
1.369147232,0.260433463,1.10871377
1.379445533,0.264829777,1.114615755
1.389755858,0.26926238,1.120493478
1.400077114,0.273730793,1.126346321
1.410408198,0.278234523,1.132173675
1.420747995,0.28277306,1.137974936
1.431095382,0.287345877,1.143749504
1.441449224,0.291952435,1.149496789
1.45180838,0.296592176,1.155216205
1.462171699,0.301264527,1.160907172
1.472538023,0.305968903,1.16656912
1.482906185,0.310704702,1.172201483
1.493275014,0.315471306,1.177803707
1.50364333,0.320268087,1.183375243
1.51400995,0.3250944,1.188915551
1.524373685,0.329949586,1.194424099
1.534733341,0.334832975,1.199900366
1.545087721,0.339743882,1.205343838
1.555435623,0.344681612,1.210754011
1.565775845,0.349645455,1.216130391
1.576107182,0.354634689,1.221472493
1.586428426,0.359648584,1.226779842
1.59673837,0.364686395,1.232051974
1.607035805,0.369747369,1.237288436
1.617319525,0.374830742,1.242488783
1.627588322,0.379935738,1.247652584
1.637840992,0.385061576,1.252779416
1.648076331,0.390207462,1.257868868
1.658293139,0.395372596,1.262920542
1.668490219,0.40055617,1.26793405
1.678666379,0.405757366,1.272909014
1.688820431,0.410975361,1.277845069
1.69895119,0.416209327,1.282741863
1.70905748,0.421458427,1.287599053
1.719138129,0.42672182,1.292416309
1.729191973,0.431998659,1.297193314
1.739217856,0.437288094,1.301929762
1.749214629,0.442589271,1.306625357
1.75918115,0.447901331,1.311279819
1.76911629,0.453223414,1.315892877
1.779018927,0.458554655,1.320464272
1.788887949,0.46389419,1.324993758
1.798722255,0.469241153,1.329481102
1.808520757,0.474594676,1.333926081
1.818282376,0.479953892,1.338328484
1.828006047,0.485317934,1.342688113
1.837690717,0.490685936,1.347004781
1.847335346,0.496057032,1.351278313
1.856938907,0.50143036,1.355508546
1.866500388,0.506805059,1.359695328
1.876018791,0.512180272,1.363838519
1.885493133,0.517555143,1.367937989
1.894922446,0.522928824,1.371993622
1.904305777,0.528300468,1.376005309
1.913642191,0.533669233,1.379972957
1.922930766,0.539034285,1.383896481
1.9321706,0.544394795,1.387775805
1.941360806,0.549749937,1.391610869
1.950500515,0.555098897,1.395401618
1.959588875,0.560440865,1.39914801
1.968625053,0.565775039,1.402850014
1.977608233,0.571100626,1.406507607
1.986537618,0.576416841,1.410120777
1.99541243,0.581722909,1.413689521
2.004231908,0.587018062,1.417213847
2.012995314,0.592301543,1.42069377
2.021701925,0.597572607,1.424129318
2.030351039,0.602830516,1.427520523
2.038941976,0.608074545,1.430867431
2.047474073,0.61330398,1.434170093
2.055946687,0.618518117,1.43742857
2.064359197,0.623716265,1.440642932
2.072711001,0.628897745,1.443813257
2.081001518,0.634061889,1.446939629
2.089230187,0.639208044,1.450022143
2.097396468,0.644335567,1.4530609
2.10549984,0.64944383,1.45605601
2.113539805,0.654532218,1.459007588
2.121515885,0.659600127,1.461915758
2.129427622,0.66464697,1.464780653
2.13727458,0.669672171,1.467602409
2.145056343,0.674675171,1.470381172
2.152772516,0.679655422,1.473117094
2.160422725,0.684612391,1.475810333
2.168006617,0.689545562,1.478461056
2.175523861,0.694454428,1.481069432
2.182974144,0.699338502,1.483635641
2.190357176,0.704197309,1.486159867
2.197672687,0.709030387,1.4886423
2.204920429,0.713837293,1.491083136
2.212100173,0.718617594,1.493482579
2.219211712,0.723370874,1.495840837
2.226254857,0.728096733,1.498158124
2.233229444,0.732794783,1.50043466
2.240135325,0.737464653,1.502670672
2.246972374,0.742105984,1.50486639
2.253740486,0.746718435,1.507022052
2.260439576,0.751301676,1.5091379
2.267069578,0.755855394,1.511214184
2.273630446,0.760379289,1.513251157
2.280122155,0.764873077,1.515249078
