,Bscat,Time,Denuder
1,7.09E+00,11:00,Yes
2,5.06E+00,11:00,Yes
3,2.79E+00,11:00,Yes
4,3.70E+01,11:00,Yes
5,2.21E+01,11:00,Yes
6,8.08E+00,11:00,Yes
7,2.88E+01,11:00,Yes
8,2.69E+01,11:00,Yes
9,4.66E+00,11:00,Yes
10,3.75E+00,11:00,Yes
11,2.42E+01,11:00,Yes
12,7.73E+00,11:00,Yes
13,4.05E+00,11:00,Yes
14,3.35E+00,11:00,Yes
15,2.79E+01,11:00,Yes
16,7.76E+00,11:00,Yes
17,3.20E+00,11:00,Yes
18,1.96E+01,11:00,Yes
19,2.15E+00,11:00,Yes
20,3.71E+00,11:00,Yes
21,-3.51E-01,11:00,Yes
22,5.75E+00,11:00,Yes
23,1.32E+01,11:00,Yes
24,4.67E+00,11:00,Yes
25,1.04E+01,11:00,Yes
26,2.88E+01,11:00,Yes
27,8.75E+00,11:00,Yes
28,8.14E+00,11:00,Yes
29,2.47E+01,11:00,Yes
30,2.80E+01,11:00,Yes
31,1.64E+01,11:00,Yes
32,7.82E+00,11:00,Yes
33,2.41E+01,11:00,Yes
34,1.08E+01,11:00,Yes
35,7.40E+00,11:00,Yes
36,1.03E+01,11:00,Yes
37,1.07E+01,11:00,Yes
38,6.74E+00,11:00,Yes
39,1.76E+01,11:00,Yes
40,3.07E+00,11:00,Yes
41,1.60E+00,11:00,Yes
42,4.57E+00,11:00,Yes
43,2.14E+00,11:00,Yes
44,2.34E+01,11:00,Yes
45,9.15E+00,11:00,Yes
46,8.87E+00,11:00,Yes
47,1.85E+01,11:00,Yes
48,5.94E+00,11:00,Yes
49,3.83E+00,11:00,Yes
50,2.38E+01,11:00,Yes
51,1.59E+00,11:00,Yes
52,2.70E+01,11:00,Yes
53,1.54E+01,11:00,Yes
54,8.74E+00,11:00,Yes
55,2.23E+01,11:00,Yes
56,1.41E+01,11:00,Yes
57,7.12E+00,11:00,Yes
58,3.60E+01,11:00,Yes
59,1.79E+01,11:00,Yes
60,4.45E+00,11:00,Yes
61,4.58E+00,11:00,Yes
62,1.07E+00,11:00,Yes
63,3.38E+01,11:00,Yes
64,1.29E+01,11:00,Yes
65,5.73E+00,11:00,Yes
66,3.41E+00,11:00,Yes
67,2.61E+00,11:00,Yes
68,8.75E+00,11:00,Yes
69,3.82E+01,11:00,Yes
70,2.89E+00,11:00,Yes
71,5.03E+00,11:00,Yes
72,1.27E+01,11:00,Yes
73,7.74E+01,11:00,Yes
74,1.59E+01,11:00,Yes
75,5.43E+01,11:00,Yes
76,9.19E+00,11:00,Yes
77,1.22E+01,11:00,Yes
78,3.08E+00,11:00,Yes
79,7.58E+00,11:00,Yes
80,2.19E+01,11:00,Yes
81,1.34E+01,11:00,Yes
82,2.15E+01,11:00,Yes
83,5.48E+00,11:00,Yes
84,4.40E+00,11:00,Yes
85,2.11E+00,11:00,Yes
86,3.10E+00,11:00,Yes
87,3.29E+00,11:00,Yes
88,3.24E+00,11:00,Yes
89,1.30E+01,11:00,Yes
90,7.65E+00,11:00,Yes
91,4.16E+00,11:00,Yes
92,1.01E+01,11:00,Yes
93,3.43E+01,11:00,Yes
94,9.95E+00,11:00,Yes
95,1.89E+01,11:00,Yes
96,8.53E+00,11:00,Yes
97,1.54E+01,11:00,Yes
98,2.07E+00,11:00,Yes
99,7.56E-01,11:00,Yes
100,7.84E+00,11:00,Yes
101,-8.06E-01,11:00,Yes
102,-9.46E-03,11:00,Yes
103,1.36E+01,11:00,Yes
104,3.76E+00,11:00,Yes
105,1.52E+00,11:00,Yes
106,2.50E+01,11:00,Yes
107,1.46E+01,11:00,Yes
108,1.31E+01,11:00,Yes
109,3.37E+01,11:00,Yes
110,-4.47E-01,11:00,Yes
111,2.26E+00,11:00,Yes
112,1.37E+01,11:00,Yes
113,4.71E+00,11:00,Yes
114,1.51E+01,11:00,Yes
115,4.27E+00,11:00,Yes
116,2.91E+00,11:00,Yes
117,3.78E+01,11:00,Yes
118,6.38E+00,11:00,Yes
119,1.75E+01,11:00,Yes
120,3.69E+01,11:00,Yes
121,9.32E+00,11:00,Yes
122,1.35E+01,11:00,Yes
123,1.32E+01,11:00,Yes
124,2.17E+01,11:00,Yes
125,3.23E+00,11:00,Yes
126,3.58E+00,11:00,Yes
127,5.22E+00,11:00,Yes
128,2.42E+01,11:00,Yes
129,9.93E+00,11:00,Yes
130,3.87E+00,11:00,Yes
131,9.10E-01,11:00,Yes
132,4.79E+00,11:00,Yes
133,2.09E+01,11:00,Yes
134,1.34E+00,11:00,Yes
135,3.70E+00,11:00,Yes
136,8.86E+00,11:00,Yes
137,8.70E+00,11:00,Yes
138,6.41E+00,11:00,Yes
139,1.48E+00,11:00,Yes
140,6.51E+00,11:00,Yes
141,1.20E+01,11:00,Yes
142,8.88E+00,11:00,Yes
143,1.96E+00,11:00,Yes
144,6.51E+00,11:00,Yes
145,1.93E+01,11:00,Yes
146,2.13E+01,11:00,Yes
147,1.25E+01,11:00,Yes
148,3.40E+01,11:00,Yes
149,1.10E+01,11:00,Yes
150,6.92E+01,11:00,Yes
151,1.25E+01,11:00,Yes
152,1.15E+01,11:00,Yes
153,1.14E+01,11:00,Yes
154,1.05E+01,11:00,Yes
155,1.54E+00,11:00,Yes
156,2.98E+00,11:00,Yes
157,7.25E+00,11:00,Yes
158,1.44E+00,11:00,Yes
159,2.85E+00,11:00,Yes
160,8.88E+00,11:00,Yes
161,1.52E+01,11:00,Yes
162,2.57E+00,11:00,Yes
163,2.41E+01,11:00,Yes
164,1.16E+01,11:00,Yes
165,2.55E+00,11:00,Yes
166,2.58E+00,11:00,Yes
167,6.89E+00,11:00,Yes
168,1.57E+01,11:00,Yes
169,5.75E+00,11:00,Yes
170,2.49E-01,11:00,Yes
171,7.06E+00,11:00,Yes
172,3.89E+00,11:00,Yes
173,2.05E+00,11:00,Yes
174,4.67E+00,11:00,Yes
175,2.59E+01,11:00,Yes
176,1.93E+01,11:00,Yes
177,1.27E+01,11:00,Yes
178,1.44E+01,11:00,Yes
179,3.81E+00,11:00,Yes
180,5.90E+01,11:00,Yes
181,1.79E+01,11:00,Yes
182,3.11E+00,11:00,Yes
183,2.80E+00,11:00,Yes
184,1.64E+00,11:00,Yes
185,2.97E+01,11:00,Yes
186,3.07E+01,11:00,Yes
187,1.71E+01,11:00,Yes
188,4.70E+00,11:00,Yes
189,7.43E+00,11:00,Yes
190,3.04E+01,11:00,Yes
191,1.80E+01,11:00,Yes
192,1.22E+01,11:00,Yes
193,7.40E+00,11:00,Yes
194,1.69E+01,11:00,Yes
195,4.62E+00,11:00,Yes
196,5.59E+00,11:00,Yes
197,4.74E+01,11:00,Yes
198,4.63E+00,11:00,Yes
199,1.32E+01,11:00,Yes
200,3.19E+00,11:00,Yes
201,7.74E+00,11:00,Yes
202,1.83E+00,11:00,Yes
203,2.99E+01,11:00,Yes
204,5.16E+00,11:00,Yes
205,8.50E+00,11:00,Yes
206,3.44E+01,11:00,Yes
207,1.34E+01,11:00,Yes
208,3.85E+01,11:00,Yes
209,4.63E+00,11:00,Yes
210,3.10E+01,11:00,Yes
211,3.97E+00,11:00,Yes
212,1.28E+01,11:00,Yes
213,-2.05E-01,11:00,Yes
214,9.27E+00,11:00,Yes
215,3.48E+01,11:00,Yes
216,6.35E+00,11:00,Yes
217,2.12E+00,11:00,Yes
218,8.21E-01,11:00,Yes
219,2.97E+01,11:00,Yes
220,3.83E+00,11:00,Yes
221,1.07E+01,11:00,Yes
222,4.84E+00,11:00,Yes
223,3.33E+00,11:00,Yes
224,4.18E+00,11:00,Yes
225,6.44E+00,11:00,Yes
226,4.34E+01,11:00,Yes
227,1.89E+00,11:00,Yes
228,1.05E+01,11:00,Yes
229,2.78E+01,11:00,Yes
230,3.16E+01,11:00,Yes
231,2.11E+00,11:00,Yes
232,2.16E+01,11:00,Yes
233,2.88E+00,11:00,Yes
234,2.59E+01,11:00,Yes
