SO2,CO,NO2,SO4
5.60E-07,5.82E-07,6.03E-07,6.21E-07
4.48E-06,4.65E-06,4.82E-06,4.97E-06
1.51E-05,1.57E-05,1.63E-05,1.68E-05
3.58E-05,3.72E-05,3.86E-05,3.97E-05
7.00E-05,7.27E-05,7.53E-05,7.76E-05
0.00012088,0.00012568,0.000130143,0.000134108
0.000191959,0.000199576,0.000206657,0.000212948
0.000286546,0.000297909,0.000308471,0.000317853
0.000408002,0.000424169,0.000439196,0.000452539
0.000559684,0.000581845,0.000602439,0.000620724
0.00074495,0.000774424,0.00080181,0.000826119
0.000967156,0.00100539,0.001040912,0.001072437
0.001229653,0.001278226,0.001323347,0.001363383
0.001535793,0.001596412,0.001652715,0.001702664
0.001888921,0.001963422,0.002032609,0.002093978
0.002292379,0.002382726,0.002466621,0.002541023
0.002749501,0.002857791,0.002958336,0.003047492
0.003263615,0.003392073,0.003511335,0.003617074
0.003838041,0.003989025,0.00412919,0.004253451
0.00447609,0.00465209,0.004815471,0.004960303
0.005181061,0.005384701,0.005573736,0.005741303
0.005956239,0.006190281,0.006407537,0.006600119
0.0068049,0.007072242,0.007320417,0.007540415
0.007730299,0.008033982,0.008315908,0.008565846
0.008735678,0.009078885,0.009397534,0.009680063
0.009824257,0.010210321,0.010568805,0.010886709
0.010999237,0.01143164,0.01183322,0.01218942
0.012263795,0.012746177,0.013194263,0.013591827
0.013621083,0.014157243,0.014655406,0.015097551
0.015074227,0.015668131,0.016220105,0.016710207
0.016626324,0.017282109,0.017891799,0.0184334
0.018280438,0.019002418,0.019673909,0.020270726
0.0200396,0.020832276,0.021569839,0.022225775
0.021906805,0.022774869,0.023582971,0.024302125
0.023885009,0.024833354,0.025716667,0.026503344
0.025977127,0.027010854,0.027974267,0.02883299
0.028186029,0.029310457,0.030359085,0.031294609
0.03051454,0.031735216,0.032874412,0.033891738
0.032965433,0.034288141,0.03552351,0.036627897
0.035541431,0.036972203,0.038309612,0.039506597
0.0382452,0.039790329,0.041235923,0.042531332
0.041079349,0.042745397,0.044305613,0.045705582
0.044046424,0.04584024,0.04752182,0.049032811
0.047148908,0.049077634,0.050887646,0.052516467
0.050389215,0.052460304,0.054406152,0.056159977
0.053769688,0.055990917,0.058080362,0.059966751
0.057292595,0.059672078,0.061913256,0.063940177
0.060960127,0.06350633,0.065907768,0.068083619
0.064774392,0.067496149,0.070066786,0.072400418
0.068737414,0.071643942,0.074393146,0.076893888
0.072851129,0.075952041,0.078889632,0.081567317
0.077117379,0.080422702,0.083558972,0.086423959
0.08153791,0.085058103,0.088403833,0.091467039
0.08611437,0.089860335,0.093426821,0.096699743
0.090848301,0.094831404,0.098630477,0.10212522
0.095741139,0.099973222,0.104017269,0.10774658
0.100794206,0.105287608,0.109589595,0.113566885
0.106008711,0.110776281,0.115349775,0.119589153
0.111385744,0.116440854,0.121300045,0.125816348
0.116926269,0.122282836,0.127442559,0.132251378
0.122631124,0.128303621,0.133779378,0.138897093
0.128501015,0.134504485,0.140312469,0.145756277
0.134536513,0.140886585,0.147043699,0.152831648
0.140738049,0.147450952,0.15397483,0.160125845
0.147105911,0.154198484,0.161107512,0.167641431
0.153640239,0.161129944,0.168443282,0.175380882
0.160341022,0.168245954,0.175983554,0.183346583
0.167208093,0.175546992,0.183729613,0.191540818
0.174241126,0.183033383,0.191682612,0.199965771
0.181439633,0.190705296,0.199843564,0.208623509
0.188802959,0.198562741,0.208213333,0.217515981
0.196330278,0.20660556,0.216792632,0.226645007
0.204020591,0.214833423,0.225582013,0.236012273
0.211872723,0.223245825,0.234581859,0.245619317
0.219885319,0.231842077,0.243792381,0.255467525
0.22805684,0.240621305,0.253213606,0.265558117
0.236385562,0.249582441,0.26284537,0.27589214
0.244869572,0.258724221,0.272687314,0.286470457
0.253506767,0.268045178,0.282738872,0.297293735
0.262294852,0.277543638,0.292999266,0.308362435
0.271231336,0.287217715,0.303467494,0.319676801
0.280313533,0.297065308,0.314142327,0.331236844
0.289538558,0.307084092,0.325022297,0.343042338
0.29890333,0.317271522,0.336105693,0.355092798
0.308404569,0.327624819,0.347390548,0.367387472
0.318038794,0.338140976,0.358874633,0.37992533
0.327802328,0.348816748,0.370555451,0.392705044
0.337691295,0.359648652,0.382430228,0.40572498
0.347701623,0.370632964,0.394495904,0.418983184
0.357829045,0.381765716,0.406749129,0.432477362
0.368069102,0.393042697,0.419186252,0.446204875
0.378417143,0.404459448,0.431803319,0.460162717
0.388868332,0.416011265,0.444596062,0.474347506
0.399417651,0.427693197,0.457559898,0.488755468
0.410059904,0.439500047,0.470689922,0.503382427
0.42078972,0.451426373,0.483980899,0.518223785
0.431601564,0.463466493,0.497427268,0.533274517
0.442489737,0.475614485,0.511023131,0.548529152
0.453448391,0.487864189,0.524762257,0.563981769
0.464471531,0.500209219,0.538638078,0.579625981
0.475553023,0.512642961,0.55264369,0.595454925
0.486686611,0.525158583,0.566771854,0.611461259
0.497865919,0.537749043,0.581014999,0.62763715
0.509084466,0.550407098,0.595365224,0.643974273
0.520335677,0.56312531,0.609814306,0.660463804
0.531612894,0.575896065,0.624353708,0.677096419
0.542909395,0.588711576,0.638974582,0.693862299
0.554218398,0.601563903,0.653667787,0.710751127
0.565533084,0.614444966,0.668423896,0.727752098
0.576846609,0.627346556,0.683233211,0.744853926
0.58815212,0.640260361,0.698085782,0.762044859
0.599442771,0.653177975,0.712971421,0.779312688
0.610711738,0.666090923,0.727879726,0.796644772
0.62195224,0.678990676,0.742800101,0.814028054
0.633157554,0.691868678,0.75772178,0.83144909
0.644321033,0.704716361,0.772633851,0.848894076
0.65543612,0.717525172,0.787525288,0.86634888
0.666496373,0.730286594,0.802384976,0.883799076
0.677495478,0.742992171,0.817201741,0.901229987
0.688427263,0.755633527,0.831964385,0.91862672
0.699285723,0.768202396,0.846661712,0.935974213
0.710065031,0.78069064,0.861282569,0.953257278
0.720759552,0.793090275,0.875815873,0.970460652
0.731363866,0.805393496,0.890250646,0.987569043
0.741872774,0.817592692,0.904576051,1.004567179
0.75228132,0.829680478,0.918781423,1.021439859
0.762584796,0.841649706,0.932856301,1.038172004
0.772778759,0.853493492,0.94679046,1.054748702
0.782859041,0.865205231,0.960573943,1.071155263
0.792821757,0.876778616,0.974197088,1.08737726
0.802663316,0.888207652,0.987650559,1.103400577
0.812380428,0.899486675,1.000925367,1.119211454
0.82197011,0.910610362,1.014012901,1.134796526
0.831429691,0.921573744,1.026904946,1.150142867
0.840756817,0.932372217,1.039593704,1.165238022
0.849949454,0.943001552,1.052071815,1.180070044
0.859005891,0.953457901,1.064332374,1.194627529
0.86792474,0.963737804,1.076368945,1.20889964
0.876704934,0.973838193,1.088175573,1.22287614
0.88534573,0.983756399,1.099746798,1.236547416
0.893846705,0.993490148,1.111077665,1.249904498
0.902207755,1.003037569,1.122163726,1.262939083
0.910429086,1.012397189,1.133001053,1.275643554
0.918511217,1.021567931,1.143586238,1.288010991
0.926454972,1.030549116,1.153916398,1.300035191
0.93426147,1.039340456,1.163989176,1.311710672
0.941932127,1.047942048,1.173802738,1.32303269
0.949468642,1.056354375,1.183355775,1.333997241
0.956872992,1.064578292,1.192647496,1.344601064
0.964147426,1.072615023,1.201677627,1.354841649
0.971294452,1.080466153,1.210446403,1.364717232
0.978316834,1.088133618,1.218954561,1.374226795
0.985217579,1.095619696,1.227203333,1.383370062
0.991999929,1.102926998,1.235194434,1.392147487
0.998667351,1.110058457,1.242930053,1.40056025
1.005223526,1.117017317,1.250412839,1.408610244
1.011672344,1.12380712,1.257645893,1.416300059
1.018017886,1.130431696,1.264632748,1.423632966
1.02426442,1.136895153,1.271377357,1.430612901
1.030416389,1.143201856,1.277884079,1.437244441
1.0364784,1.149356426,1.284157659,1.443532784
1.042455214,1.155363715,1.290203212,1.449483726
1.048351733,1.161228802,1.296026208,1.455103632
1.054172995,1.166956973,1.30163245,1.460399412
1.059924161,1.172553712,1.307028056,1.465378488
1.065610502,1.178024686,1.312219442,1.470048772
1.071237394,1.183375729,1.3172133,1.474418627
1.076810304,1.188612832,1.322016578,1.478496842
1.082334784,1.193742127,1.326636463,1.482292599
1.087816457,1.198769875,1.331080358,1.485815437
1.093261013,1.203702452,1.335355866,1.489075225
1.098674193,1.208546339,1.339470766,1.492082126
1.104061788,1.213308102,1.343432996,1.494846566
1.109429623,1.217994388,1.347250634,1.497379205
1.114783556,1.222611909,1.350931877,1.499690898
1.120129461,1.227167427,1.354485027,1.501792673
1.12547323,1.231667749,1.357918466,1.503695696
1.130820757,1.236119711,1.361240646,1.505411241
1.136177937,1.24053017,1.364460068,1.506950667
1.141550654,1.244905992,1.367585264,1.508325383
1.14694478,1.249254041,1.370624786,1.509546828
1.152366163,1.253581175,1.373587188,1.510626446
1.157820625,1.257894229,1.376481013,1.511575658
1.163313956,1.262200015,1.379314777,1.512405842
1.168851907,1.266505306,1.382096959,1.513128314
1.174440185,1.270816834,1.384835988,1.513754303
1.180084451,1.275141279,1.387540229,1.514294938
1.185790312,1.279485268,1.390217977,1.514761228
1.19156332,1.28385536,1.392877444,1.515164046
1.197408967,1.288258048,1.395526749,1.515514115
1.20333268,1.29269975,1.398173914,1.515821997
1.209339821,1.297186805,1.400826849,1.516098077
1.215435681,1.301725467,1.403493353,1.516352556
1.22162548,1.306321905,1.406181102,1.51659544
1.227914362,1.310982194,1.408897645,1.51683653
1.234307395,1.315712314,1.4116504,1.517085419
1.240809567,1.320518148,1.414446647,1.517351483
1.247425787,1.32540548,1.417293527,1.517643875
1.25416088,1.330379988,1.420198037,1.517971525
1.261019591,1.33544725,1.423167027,1.518343131
1.268006577,1.340612733,1.4262072,1.518767162
1.275126412,1.345881801,1.429325108,1.519251854
1.282383584,1.351259706,1.43252715,1.519805209
1.289782494,1.356751595,1.435819575,1.520434997
1.297327457,1.362362501,1.439208476,1.521148753
1.3050227,1.36809735,1.442699798,1.521953781
1.312872364,1.373960959,1.446299328,1.522857156
1.320880503,1.379958031,1.450012704,1.523865724
1.329051084,1.386093165,1.453845413,1.524986107
1.337387988,1.392370849,1.457802792,1.526224705
1.345895009,1.398795463,1.461890028,1.527587699
1.354575857,1.405371279,1.466112165,1.529081056
1.363434156,1.412102466,1.470474099,1.530710533
1.372473447,1.418993087,1.474980586,1.53248168
1.381697188,1.4260471,1.47963624,1.534399847
1.391108753,1.433268363,1.484445539,1.536470185
1.400711435,1.440660632,1.489412825,1.538697658
1.410508447,1.448227566,1.494542307,1.541087038
1.420502922,1.455972724,1.499838066,1.54364292
1.430697916,1.463899573,1.505304057,1.546369722
1.441096405,1.472011483,1.51094411,1.54927169
1.451701291,1.480311734,1.516761935,1.552352907
1.462515401,1.488803515,1.522761124,1.555617294
1.473541486,1.497489929,1.528945158,1.55906862
1.484782228,1.506373989,1.535317402,1.562710503
1.496240234,1.515458629,1.541881119,1.56654642
1.507918044,1.524746697,1.548639463,1.570579709
1.519818127,1.534240962,1.555595488,1.574813573
1.531942886,1.543944116,1.562752152,1.57925109
1.544294657,1.553858774,1.570112317,1.583895216
1.556875711,1.563987476,1.577678751,1.588748789
1.569688256,1.574332693,1.585454137,1.593814533
1.582734437,1.584896823,1.593441071,1.599095067
1.596016338,1.595682197,1.601642068,1.604592909
1.609535983,1.606691081,1.610059562,1.610310475
1.623295337,1.617925676,1.618695912,1.616250091
1.637296308,1.62938812,1.627553404,1.622413995
1.651540747,1.641080491,1.636634253,1.628804339
1.666030451,1.653004811,1.645940607,1.635423197
1.680767162,1.665163041,1.655474551,1.642272566
1.69575257,1.677557092,1.665238105,1.649354373
1.710988312,1.690188819,1.675233233,1.656670477
1.726475975,1.703060026,1.68546184,1.664222673
1.742217097,1.716172467,1.695925779,1.672012697
1.758213166,1.72952785,1.706626851,1.680042228
1.774465624,1.743127835,1.717566807,1.688312894
1.790975864,1.756974037,1.728747354,1.696826273
1.807745235,1.771068029,1.740170151,1.705583896
1.82477504,1.78541134,1.751836818,1.714587253
1.842066539,1.800005462,1.763748935,1.723837794
1.859620947,1.814851845,1.775908042,1.733336934
1.877439439,1.829951902,1.788315647,1.743086051
1.895523145,1.84530701,1.800973221,1.753086495
1.913873157,1.860918511,1.813882205,1.763339589
1.932490523,1.876787712,1.827044009,1.773846627
1.951376255,1.892915889,1.840460017,1.784608883
1.970531321,1.909304284,1.854131584,1.795627611
1.989956654,1.925954109,1.868060042,1.806904043
2.009653147,1.942866547,1.882246699,1.818439401
2.029621654,1.960042751,1.896692842,1.830234888
2.049862992,1.977483846,1.911399737,1.842291698
2.070377942,1.99519093,1.926368632,1.854611015
2.091167244,2.013165076,1.941600757,1.867194017
2.112231604,2.031407327,1.957097326,1.880041872
2.13357169,2.049918704,1.972859539,1.893155748
2.155188133,2.068700204,1.988888578,1.906536808
2.177081528,2.087752796,2.005185617,1.920186216
2.199252431,2.107077428,2.021751815,1.934105135
2.221701363,2.126675024,2.038588321,1.948294731
2.244428806,2.146546484,2.055696273,1.962756172
2.267435205,2.166692685,2.0730768,1.977490632
2.290720968,2.187114483,2.090731021,1.99249929
2.314286463,2.207812708,2.108660048,2.007783334
2.338132022,2.22878817,2.126864985,2.023343956
2.362257934,2.250041654,2.145346928,2.03918236
2.386664451,2.271573924,2.164106965,2.05529976
2.411351783,2.293385718,2.183146181,2.071697377
2.4363201,2.315477754,2.20246565,2.088376448
2.461569529,2.337850722,2.222066443,2.105338219
2.487100155,2.36050529,2.241949623,2.122583949
2.512912017,2.383442101,2.262116246,2.14011491
2.539005111,2.406661771,2.282567362,2.157932389
2.565379387,2.43016489,2.303304016,2.176037684
2.592034745,2.45395202,2.324327243,2.194432109
2.61897104,2.478023697,2.345638072,2.213116992
2.646188075,2.502380426,2.367237523,2.232093675
2.673685601,2.527022681,2.389126608,2.251363512
2.701463317,2.551950905,2.411306327,2.270927873
2.729520868,2.577165509,2.433777673,2.29078814
2.757857843,2.602666867,2.456541624,2.310945709
2.786473771,2.62845532,2.479599146,2.331401986
2.815368123,2.654531169,2.502951193,2.35215839
2.844540309,2.680894677,2.526598699,2.373216349
2.873989674,2.707546066,2.550542585,2.394577301
2.903715499,2.734485514,2.57478375,2.416242689
2.933716996,2.761713155,2.599323074,2.438213964
2.963993308,2.789229075,2.624161415,2.46049258
2.994543508,2.817033312,2.649299604,2.483079993
3.025366593,2.845125852,2.674738446,2.505977661
3.056461485,2.873506627,2.70047872,2.529187037
3.087827027,2.902175515,2.726521169,2.552709572
3.119461984,2.931132333,2.752866506,2.576546708
3.151365035,2.96037684,2.779515406,2.600699879
3.183534777,2.989908731,2.806468506,2.625170507
3.215969717,3.019727637,2.833726404,2.649959999
3.248668273,3.049833119,2.861289652,2.675069743
3.281628773,3.080224669,2.889158758,2.700501112
3.314849448,3.110901706,2.91733418,2.72625545
3.348328434,3.141863574,2.945816328,2.752334082
3.382063766,3.173109538,2.974605555,2.7787383
3.416053379,3.204638786,3.003702161,2.805469371
3.450295102,3.236450419,3.033106388,2.832528525
3.484786659,3.268543454,3.062818416,2.859916963
3.519525664,3.300916819,3.092838363,2.887635844
3.554509618,3.333569353,3.123166282,2.915686295
3.589735911,3.3664998,3.153802159,2.944069398
3.625201811,3.399706805,3.184745907,2.972786199
3.66090447,3.433188917,3.21599737,3.001837699
3.696840916,3.466944579,3.247556316,3.031224857
3.733008052,3.500972131,3.279422434,3.060948587
3.76940265,3.5352698,3.311595334,3.091009761
3.806021356,3.569835703,3.344074542,3.121409201
3.842860677,3.604667839,3.376859497,3.152147685
3.879916987,3.639764086,3.409949547,3.183225941
3.917186516,3.675122199,3.443343947,3.21464465
3.954665355,3.710739803,3.477041853,3.246404437
3.992349446,3.74661439,3.511042318,3.278505875
4.030234585,3.782743315,3.545344287,3.31094948
4.068316413,3.819123788,3.57994659,3.343735705
4.10659042,3.855752873,3.614847938,3.376864936
4.145051938,3.892627483,3.650046916,3.410337488
4.183696138,3.929744371,3.685541973,3.444153594
4.222518031,3.967100126,3.721331419,3.478313401
4.261512461,4.00469117,3.757413415,3.512816959
4.300674109,4.042513752,3.793785961,3.547664208
4.339997488,4.08056394,3.830446892,3.58285497
4.379476938,4.118837617,3.867393868,3.618388935
4.419106634,4.15733048,3.90462436,3.654265643
4.458880576,4.196038027,3.942135645,3.690484476
4.498792594,4.23495556,3.979924794,3.727044634
4.538836347,4.274078176,4.017988661,3.763945127
4.579005322,4.313400766,4.056323875,3.801184746
4.619292839,4.352918008,4.094926827,3.838762057
4.659692046,4.392624366,4.133793666,3.876675375
4.700195927,4.432514089,4.172920281,3.914922745
4.740797303,4.472581205,4.212302302,3.953501928
4.781488833,4.512819523,4.251935082,3.99241038
4.822263019,4.553222632,4.291813696,4.031645231
4.863112211,4.593783897,4.33193293,4.071203272
4.904028612,4.634496467,4.372287278,4.111080935
4.945004281,4.67535327,4.412870934,4.151274276
4.986031143,4.716347019,4.453677788,4.19177896
5.02710099,4.757470215,4.494701424,4.232590248
5.068205494,4.79871515,4.535935114,4.273702981
5.109336211,4.840073914,4.577371824,4.315111567
5.15048459,4.881538398,4.619004206,4.356809975
5.191641981,4.923100306,4.660824607,4.398791722
5.232799647,4.964751156,4.702825067,4.441049864
5.273948769,5.006482295,4.744997326,4.483576994
5.315080458,5.048284905,4.787332827,4.526365236
5.356185766,5.090150017,4.829822727,4.569406245
5.397255695,5.132068517,4.872457904,4.612691203
5.438281209,5.174031162,4.915228969,4.656210828
5.479253244,5.216028593,4.958126275,4.699955373
5.520162717,5.258051345,5.001139932,4.743914637
5.561000541,5.300089867,5.044259825,4.788077975
5.601757634,5.342134531,5.087475625,4.83243431
5.642424929,5.384175649,5.130776812,4.876972149
5.682993386,5.42620349,5.174152691,4.921679601
5.723454002,5.468208294,5.217592415,4.9665444
5.763797823,5.510180289,5.261085005,5.011553927
5.804015953,5.552109708,5.304619374,5.05669524
5.844099561,5.593986804,5.348184352,5.101955101
5.884039896,5.635801865,5.391768707,5.147320012
5.923828292,5.677545233,5.435361176,5.192776246
5.963456175,5.719207318,5.478950488,5.238309893
6.002915077,5.760778613,5.522525389,5.283906891
6.042196635,5.80224971,5.566074673,5.329553074
6.081292606,5.843611312,5.609587206,5.375234217
6.120194864,5.884854249,5.653051953,5.420936079
6.158895415,5.925969491,5.696458004,5.466644455
6.197386391,5.966948156,5.739794602,5.512345219
6.235660062,6.007781526,5.783051165,5.558024376
6.273708838,6.048461054,5.826217311,5.603668112
6.311525265,6.088978371,5.869282881,5.649262842
6.349102034,6.1293253,5.91223796,5.694795258
6.386431978,6.169493854,5.9550729,5.740252376
6.423508073,6.209476249,5.997778331,5.785621582
6.460323437,6.249264903,6.040345184,5.830890675
6.496871331,6.28885244,6.082764703,5.876047911
6.533145153,6.328231693,6.125028456,5.921082034
6.569138439,6.367395702,6.167128347,5.965982318
6.604844859,6.406337714,6.209056621,6.010738595
6.640258215,6.44505118,6.250805871,6.055341283
6.675372433,6.483529753,6.29236904,6.099781404
6.710181563,6.52176728,6.333739421,6.144050608
6.744679773,6.559757803,6.374910658,6.188141185
6.778861342,6.597495544,6.415876735,6.23204607
6.812720658,6.634974902,6.456631975,6.275758848
6.846252212,6.672190447,6.497171031,6.319273754
6.879450589,6.709136906,6.53748887,6.362585662
6.912310467,6.745809153,6.577580763,6.405690078
6.944826609,6.782202205,6.617442274,6.448583121
6.976993857,6.818311203,6.657069234,6.4912615
7.00880713,6.854131408,6.696457731,6.533722492
7.040261412,6.889658184,6.735604088,6.575963913
7.071351755,6.924886989,6.774504842,6.617984079
7.102073267,6.959813364,6.81315672,6.659781778
7.132421112,6.99443292,6.851556623,6.701356224
7.162390504,7.028741327,6.889701596,6.742707021
