11:00,11:35,12:15,12:50,1:25,2:00
2.23,24.29,1.10,3.56E+00,5.73E+01,-1.10E+00
5.01,17.04,1.43,9.15E+00,2.31E+01,-1.44E+00
14.52,19.16,4.91,1.36E+01,2.51E+01,1.48E+01
7.18,37.53,2.02,1.18E+01,1.60E+01,1.46E+01
18.06,27.98,5.26,1.55E+01,4.87E+01,9.19E+00
16.93,14.60,21.71,1.13E+01,2.21E+01,1.58E+00
10.27,36.97,15.67,2.99E+01,2.36E+01,2.12E+01
6.83,38.36,3.37,3.19E+01,8.35E+01,4.18E+01
5.26,21.16,6.19,1.28E+01,2.79E+01,1.24E+01
2.87,13.61,26.00,1.16E+01,3.08E+01,5.68E+01
33.45,63.66,114.36,1.09E+01,3.66E+01,1.38E+01
14.15,10.92,-0.14,8.69E+00,2.12E+01,2.13E+00
23.72,16.51,26.55,1.00E+00,8.33E+01,2.60E+01
7.66,7.96,6.19,4.90E+01,2.95E+01,5.39E+01
10.24,13.02,1.52,5.12E+00,1.92E+01,3.54E+00
17.80,13.52,8.79,1.68E+01,3.08E+01,7.12E+00
38.80,13.33,31.56,8.53E+00,2.98E+01,6.02E+00
12.97,2.26,-0.35,1.77E+01,2.48E+01,1.15E+01
0.97,8.11,7.53,1.82E+01,2.26E+01,1.69E+01
6.61,3.49,-7.60,1.65E+01,2.12E+01,1.59E+02
8.92,4.29,2.14,1.65E+01,8.28E+01,4.54E+00
57.58,10.59,7.16,1.16E+01,3.54E+01,1.87E+00
6.83,10.18,30.71,2.17E+01,2.84E+01,1.75E+00
35.49,60.93,65.58,1.92E+01,5.45E+01,4.96E+00
13.96,23.20,39.63,1.32E+01,2.26E+01,-4.91E-01
5.98,11.36,8.11,1.60E+01,2.33E+01,5.41E+00
-2.04,13.47,0.74,1.22E+01,2.72E+01,1.12E+00
7.53,23.71,0.64,8.22E+00,2.89E+01,2.48E+01
14.14,9.19,35.81,3.10E+01,2.43E+01,2.31E+01
38.76,16.82,0.03,2.11E+01,2.32E+01,-2.61E+00
36.95,18.94,23.60,1.27E+01,3.18E+01,-3.71E+00
15.58,19.48,-4.05,2.56E+01,1.64E+01,7.27E+00
28.55,14.81,10.81,2.81E+01,1.93E+01,2.07E+01
12.22,18.72,7.33,1.80E+01,4.16E+01,-2.78E+00
8.99,9.54,25.97,8.69E+00,2.63E+01,-2.06E+00
6.27,12.71,3.39,1.27E+01,2.97E+01,-8.92E+00
0.58,19.41,6.30,1.34E+00,6.19E+01,-1.75E+00
39.71,7.63,1.09,2.00E+01,2.37E+01,3.74E+00
3.91,18.25,3.50,1.50E+01,7.55E+01,-5.30E+00
12.13,51.32,11.65,1.31E+01,2.18E+01,-8.44E+00
37.10,27.84,18.44,1.24E+01,1.25E+02,-6.45E+00
3.22,19.77,5.38,8.59E+00,3.15E+01,-2.97E+00
0.21,207.10,48.75,1.80E+01,3.16E+01,-7.00E+00
65.21,27.62,9.11,2.80E+00,6.65E+01,-5.86E+00
34.83,43.81,13.43,1.10E+01,2.83E+01,1.00E+00
1.28,25.81,11.18,4.73E+01,4.36E+01,-8.00E+00
35.25,9.89,5.33,2.72E+01,3.52E+01,6.44E+00
14.45,25.32,7.97,2.94E+01,2.93E+01,-7.61E+00
5.62,23.54,58.33,1.13E+01,2.41E+01,-3.09E+00
3.86,48.74,28.53,5.91E+00,2.76E+01,6.11E+00
5.25,21.83,4.16,1.55E+01,4.50E+01,-5.34E+00
17.37,23.57,8.18,1.91E+01,6.46E+01,-8.67E-01
4.48,27.38,11.63,1.43E+01,2.33E+01,5.28E-01
23.79,35.76,19.41,3.51E+01,4.78E+01,3.39E+00
78.54,37.29,1.98,1.17E+01,4.06E+01,1.99E+01
8.50,29.34,2.14,1.85E+01,2.48E+01,9.04E+00
17.27,34.53,1.39,4.49E+01,3.66E+01,1.11E-01
-1.55,36.35,12.49,1.41E+01,3.30E+01,2.65E+00
2.14,23.34,0.40,2.32E+01,3.13E+01,3.43E-01
10.64,39.48,6.87,1.42E+01,2.48E+01,-6.07E+00
8.81,41.71,-5.47,1.34E+01,7.09E+01,-4.11E+00
1.58,37.15,-2.65,5.34E+00,1.69E+01,4.92E+00
0.03,36.18,-4.37,6.95E+00,4.41E+01,6.45E-01
33.48,43.32,6.42,1.33E+01,5.21E+01,3.78E+00
17.99,26.40,2.71,2.75E+01,2.31E+01,1.11E+01
9.87,24.24,7.21,3.12E+01,2.12E+01,-8.46E+00
21.93,28.21,5.69,2.69E+01,2.70E+01,-3.25E+00
35.45,28.66,6.07,4.17E+00,2.53E+01,-2.82E+00
14.17,26.40,2.05,8.49E+00,8.85E+01,3.09E+00
8.03,32.62,0.01,1.15E+02,2.83E+01,9.61E+00
17.94,22.20,-2.40,1.05E+01,2.36E+01,7.49E+01
30.49,35.48,4.22,1.26E+01,2.67E+01,2.79E+00
9.64,22.09,17.18,1.08E+01,2.56E+01,-1.51E-01
16.69,24.83,-2.51,2.86E+01,3.36E+01,-1.88E+00
43.56,35.70,4.30,1.23E+01,2.34E+01,-6.24E+00
84.39,32.29,12.33,2.32E+01,3.63E+01,-1.21E+01
9.76,43.58,23.55,7.89E+01,2.12E+01,8.30E+00
13.84,23.72,10.94,2.87E+01,2.10E+01,-1.10E+01
12.05,26.95,14.64,1.94E+01,3.30E+01,4.16E+00
13.37,37.53,8.97,2.01E+01,5.18E+01,1.71E+01
28.02,47.58,0.02,1.86E+01,2.70E+01,3.95E+00
31.79,52.39,17.86,1.17E+01,3.74E+01,-2.73E+00
3.89,30.63,3.25,2.22E+01,2.12E+01,-9.14E+00
11.66,30.20,12.15,1.81E+00,2.49E+01,-6.40E+00
12.73,24.09,2.87,1.16E+01,2.02E+01,3.15E+00
19.14,30.37,3.82,1.68E+01,4.83E+01,-3.06E+00
15.98,20.79,3.02,1.50E+01,5.97E+01,-3.73E+00
32.10,24.59,11.25,1.09E+01,6.38E+01,-4.16E+00
11.08,22.80,21.35,1.31E+01,4.53E+01,-9.38E+00
17.03,40.26,2.46,4.98E+00,2.78E+01,-2.13E+00
9.22,23.82,9.57,1.35E+01,4.15E+01,-5.73E+00
12.72,23.62,6.57,1.55E+01,2.18E+01,2.09E+01
23.18,69.18,37.10,3.97E+01,1.03E+02,1.71E+01
7.02,27.61,-1.83,3.16E+01,2.42E+01,2.52E+01
7.93,59.34,9.14,1.35E+01,3.02E+01,1.52E+01
13.45,21.67,7.60,1.04E+01,3.80E+01,9.46E+00
1.32,21.70,-1.81,1.44E+01,2.80E+01,-1.01E+01
6.08,34.09,29.83,3.54E+01,3.12E+01,7.64E+00
12.01,67.95,1.23,5.10E+01,4.87E+01,-2.49E+00
3.95,35.26,46.55,1.59E+01,2.70E+01,-5.66E+00
1.74,32.22,5.70,2.00E+01,2.40E+01,5.24E+00
21.21,36.54,25.64,1.10E+01,3.08E+01,1.27E+00
1.71,53.90,11.99,1.08E+01,3.20E+01,-4.93E+00
12.49,54.98,2.78,2.43E+01,3.74E+01,-1.88E+00
10.66,41.10,8.18,1.53E+01,5.90E+01,-4.61E+00
8.33,28.70,3.11,5.28E+01,3.33E+01,-2.51E+00
16.38,34.21,11.87,3.19E+01,1.78E+01,5.29E+00
14.22,36.66,5.03,3.14E+00,3.24E+01,-2.97E+00
14.12,47.74,35.01,8.01E+00,2.53E+01,8.60E+00
5.18,38.19,28.24,2.34E+01,3.85E+01,8.81E+00
8.90,34.22,5.90,1.02E+01,2.82E+01,1.10E+00
16.39,22.70,7.85,1.20E+01,2.42E+01,3.84E+00
8.37,66.12,5.65,3.40E+01,3.50E+01,-3.14E+00
11.01,31.44,6.48,1.41E+01,2.49E+01,-7.96E+00
5.29,43.07,19.87,2.16E+01,2.21E+01,-4.19E+00
14.62,29.78,10.30,7.67E+00,4.18E+01,-2.41E+00
6.79,40.55,47.18,4.65E+01,2.30E+01,-1.07E+01
22.19,26.14,4.82,1.47E+01,1.68E+01,1.04E+00
57.21,24.97,23.71,2.64E+01,4.84E+01,-3.46E-01
25.93,46.75,9.64,8.65E+00,2.12E+01,2.19E-01
30.18,40.70,13.95,5.69E+00,2.19E+01,5.26E+00
23.85,64.99,5.52,8.21E+00,3.78E+01,1.11E+01
7.83,42.54,11.08,4.25E+01,3.06E+01,1.33E+01
5.64,81.96,-3.19,3.64E+01,3.43E+01,-7.34E+00
38.53,85.96,1.73,1.23E+01,2.16E+01,-4.09E+00
6.48,79.64,21.70,2.48E+01,3.68E+01,2.25E+01
8.29,24.96,2.30,1.45E+01,2.36E+01,1.68E+01
13.59,24.33,3.10,8.13E+00,2.80E+01,1.16E+00
5.60,45.51,27.28,7.87E+01,2.37E+01,1.78E+02
12.93,87.46,5.44,1.46E+01,1.69E+01,7.75E+00
12.47,34.44,3.82,2.24E+01,2.79E+01,1.19E+00
7.13,78.12,7.45,1.36E+01,5.32E+01,9.74E+00
20.12,30.11,10.73,1.12E+01,2.27E+01,4.80E+01
16.57,41.69,4.60,2.91E+01,2.71E+01,4.50E+01
-0.36,37.94,3.47,3.64E+01,3.83E+01,1.28E+01
10.02,26.09,33.69,4.69E+01,2.11E+01,5.35E+00
22.52,36.90,7.11,6.94E+00,3.53E+01,-7.73E+00
15.06,80.27,3.91,3.06E+01,3.27E+01,-8.31E+00
24.34,90.20,40.52,9.74E+00,7.87E+01,-4.99E+00
27.20,60.23,8.57,1.45E+01,3.25E+01,-7.92E+00
33.61,41.96,8.74,1.07E+01,3.36E+01,-4.45E+00
20.79,30.51,29.09,1.25E+01,6.44E+01,1.04E+01
9.76,24.41,18.25,2.31E+01,2.11E+01,-3.55E+00
8.41,39.69,13.88,8.53E+00,2.35E+01,3.79E+00
15.53,32.24,9.20,2.31E+01,3.27E+01,-2.67E+00
30.77,58.22,5.73,8.31E+00,2.64E+01,2.59E+01
21.09,87.88,0.83,2.94E+01,2.65E+01,5.49E+00
43.48,63.88,-2.92,1.95E+01,4.36E+01,1.56E+00
11.05,50.69,2.12,1.08E+01,2.61E+01,-5.89E+00
12.26,47.73,4.58,6.62E+00,4.32E+01,-3.80E+00
14.47,53.49,6.13,2.12E+01,2.68E+01,-3.58E+00
8.81,44.34,-4.65,8.06E+00,1.61E+01,-4.66E+00
88.89,43.87,8.03,8.55E+01,2.39E+01,-6.12E+00
30.00,50.11,0.39,1.47E+01,2.54E+01,1.73E+01
14.97,29.33,10.72,3.10E+01,2.14E+01,-2.74E+00
11.16,43.27,-2.56,1.42E+01,2.50E+01,4.27E+01
13.08,94.58,29.20,1.58E+01,3.57E+01,4.00E+01
3.42,177.24,3.28,1.86E+01,5.27E+01,-1.31E+01
6.69,40.04,3.68,2.86E+01,3.32E+01,-5.20E+00
18.14,47.94,6.88,2.05E+01,2.31E+01,1.22E+00
8.96,50.38,7.80,1.36E+01,2.46E+01,2.58E-02
13.15,40.82,5.39,1.08E+01,2.96E+01,2.82E+00
0.36,19.56,5.72,7.52E+00,2.92E+01,6.12E+01
15.84,36.75,11.13,1.91E+01,3.48E+01,6.67E+01
6.56,31.00,1.23,2.31E+01,2.62E+01,-3.52E+00
17.37,24.08,5.89,2.01E+01,3.16E+01,-7.47E+00
