,Bscat,Time,Denuder
227,1.84,11:00,Yes
228,5.44,11:00,Yes
229,12.88,11:00,Yes
230,6.82,11:00,Yes
231,19.59,11:00,Yes
232,21.2,11:00,Yes
233,22.54,11:00,Yes
234,14.25,11:00,Yes
235,13.43,11:00,Yes
236,5.65,11:00,Yes
237,8.94,11:00,Yes
238,20.98,11:00,Yes
239,16.44,11:00,Yes
240,36.47,11:00,Yes
241,6.14,11:00,Yes
242,11.25,11:00,Yes
243,2.41,11:00,Yes
244,3.82,11:00,Yes
245,83.51,11:00,Yes
246,20.57,11:00,Yes
247,4.17,11:00,Yes
248,7.83,11:00,Yes
249,12.28,11:00,Yes
250,1.63,11:00,Yes
251,6.66,11:00,Yes
252,19.3,11:00,Yes
253,6.94,11:00,Yes
254,7.49,11:00,Yes
255,1.5,11:00,Yes
256,19.22,11:00,Yes
257,2.69,11:00,Yes
258,14.44,11:00,Yes
259,11.59,11:00,Yes
260,4.27,11:00,Yes
261,35.13,11:00,Yes
262,6.3,11:00,Yes
263,4.76,11:00,Yes
264,13.03,11:00,Yes
265,12.86,11:00,Yes
266,9.06,11:00,Yes
267,8.07,11:00,Yes
268,11.78,11:00,Yes
269,2.06,11:00,Yes
270,21.71,11:00,Yes
271,4.97,11:00,Yes
272,16.44,11:00,Yes
273,33.93,11:00,Yes
274,16.9,11:00,Yes
275,33.64,11:00,Yes
276,5.35,11:00,Yes
277,3.64,11:00,Yes
278,0.08,11:00,Yes
279,20.47,11:00,Yes
280,9.2,11:00,Yes
281,15.21,11:00,Yes
282,14.93,11:00,Yes
283,28.3,11:00,Yes
284,4.06,11:00,Yes
285,20.68,11:00,Yes
286,6.26,11:00,Yes
287,40.18,11:00,Yes
288,3.48,11:00,Yes
289,6.31,11:00,Yes
290,3.34,11:00,Yes
291,7.23,11:00,Yes
292,10.12,11:00,Yes
293,6.07,11:00,Yes
294,7.88,11:00,Yes
295,31.6,11:00,Yes
296,27.68,11:00,Yes
297,37.74,11:00,Yes
298,26.69,11:00,Yes
299,16.68,11:00,Yes
300,1.88,11:00,Yes
301,5.13,11:00,Yes
302,22.59,11:00,Yes
303,5.68,11:00,Yes
304,11.14,11:00,Yes
305,6.69,11:00,Yes
306,19.72,11:00,Yes
307,4.59,11:00,Yes
308,17.19,11:00,Yes
309,34.76,11:00,Yes
310,6.23,11:00,Yes
311,25.28,11:00,Yes
312,15.48,11:00,Yes
313,8.31,11:00,Yes
314,5.04,11:00,Yes
315,7.46,11:00,Yes
316,4.95,11:00,Yes
317,5.83,11:00,Yes
318,4.79,11:00,Yes
319,4.76,11:00,Yes
320,6.91,11:00,Yes
321,27.77,11:00,Yes
322,27.18,11:00,Yes
323,0.56,11:00,Yes
324,1.1,11:00,Yes
325,37.07,11:00,Yes
326,11.94,11:00,Yes
327,4.16,11:00,Yes
328,-0.55,11:00,Yes
329,2.7,11:00,Yes
330,76.61,11:00,Yes
331,15.24,11:00,Yes
332,40.71,11:00,Yes
333,12.33,11:00,Yes
334,5.86,11:00,Yes
335,17.72,11:00,Yes
336,175.92,11:00,Yes
337,69.33,11:00,Yes
338,20.7,11:00,Yes
339,89.05,11:00,Yes
340,6,11:00,Yes
341,39.22,11:00,Yes
342,9.01,11:00,Yes
343,14.46,11:00,Yes
344,3.42,11:00,Yes
345,2.89,11:00,Yes
346,3.84,11:00,Yes
347,46.62,11:00,Yes
348,3.72,11:00,Yes
349,6.76,11:00,Yes
350,15.34,11:00,Yes
351,1.46,11:00,Yes
352,6.15,11:00,Yes
353,113.13,11:00,Yes
