2016,2017,2018,2019,2020,2021
8.5,20.5,11.5,4.8,9.7,10.9
4.5,13.3,12.2,5.5,14,6
18.6,4.9,9.9,3.8,8.7,6.8
4.8,5.9,11.1,13.6,4.5,10.6
5.1,7,4.6,7.5,3.8,8.9
8.5,6.3,8.2,5.1,5.4,6.6
4.2,9.6,7.8,4.3,7,8.4
12.6,5.9,2.5,2.2,8.9,12.7
14.2,2.7,9.3,18.5,16.4,10.6
10.2,6.1,18,8.4,8,5.3
13.5,10.1,4.8,5.3,4.3,6.9
13.4,5.2,6.6,12.2,5.1,6.1
5.7,7.8,7.6,12.6,10.1,4.4
12.6,4,4.6,23.3,17.3,6.3
11.6,4.2,6.2,22.8,5.1,5.1
5.4,-0.1,6.2,13.9,6,5.5
5.5,3.2,7.3,19.9,9.2,16.1
5.1,3,7.3,7.1,6.5,14
0.3,5.6,3.6,5.3,7.7,6.7
2.8,4.5,7.8,7.8,6.1,8.6
2.9,1.4,8.9,7.8,7.8,5
4.3,9.4,5.6,6,7.5,5.8
3.7,4.3,4,5.9,8.6,7
1.4,4.1,3.6,23.4,6.8,4.7
3.8,7.8,10.1,18.8,5.8,9.4
8.5,7.9,5.5,11.8,4.9,10.4
3.8,9.1,3.4,17.9,10.2,5.4
3.4,13.7,3.4,10.5,8.5,8.3
4.9,10.8,4.6,10.2,7.1,10.8
5.2,2.9,4.9,8.2,3.9,9.3
7.1,3.8,8.2,21.3,5.4,7.5
8.7,7,7.7,25.6,10.1,10.5
4.1,6.5,6,23.5,5.9,12.3
4.1,5.6,8.2,25.6,5.5,5.2
6.6,1.3,14.3,3.5,5.2,7
6.5,3.8,10.3,14.3,5.7,4.3
9.7,3.9,9.7,17.2,8.9,5.7
8.3,2.7,5.5,5.3,8.4,7.7
13.8,5.3,11.9,4.9,11.1,7.1
8.6,19.3,4.4,2.7,11.5,9.3
7.4,7.7,4.1,1.5,10.1,12.5
5.9,7,5.9,2.6,3.5,7.4
6.8,10.8,6.4,5.7,6.8,11.6
7.7,11.6,3.4,12.9,6.5,17.7
10.9,4.8,5.3,3.4,7.1,15.4
7.7,6.6,6.8,4.4,8.3,18.4
10.6,10.2,5.8,9.5,7.4,24.4
6.6,3.1,5.5,6.2,6.3,19.7
5.1,5.8,5.3,6.3,7.2,21.9
6.1,11.3,9.9,5.8,9.1,22.3
7.1,11.6,3.8,5.4,12.5,9.3
8.6,15.2,6.7,4.5,19,14.5
10.1,14.9,3.7,4.6,3.7,16.4
11.8,8.7,10,7.8,16.7,15.2
6.8,5.8,8.3,10.1,29,5.9
4.9,10.9,1.8,4.9,16.8,11.6
4,19.2,6.3,3.4,21.4,13.4
4.7,8.7,5.1,5,9.4,13
6.7,4.5,4.2,3.1,6.8,11.6
5.4,9.1,2.7,3.5,22.8,9.4
4.4,17.8,3.1,7.3,10.5,6.4
3.4,16.4,1.9,2,26.3,8.9
9.3,6.7,1,5.1,23.5,6.6
6.2,4.2,3.3,3.8,18.9,13.6
4.8,5.4,6,4.4,24.5,12.5
7.7,4,11.1,2.4,29.9,15.5
4.8,4.3,11.9,2.8,4.5,12.6
5.5,6.8,5.1,2.8,8.4,18.3
9.7,6.6,3.8,2.6,10.3,16.1
13.8,9,7.2,4.1,8,17
9.8,3.3,8,4.7,13.4,8.1
9.1,10.2,7,6.7,10.7,15.2
15.4,2.3,6.2,3.2,10,4.7
17,2.7,7.9,1.6,9.9,15.7
11.9,3.2,10.6,5.6,8.9,13.8
10.4,3.8,12.4,6.7,8.1,5.6
9.6,10.2,15.8,3.6,12.1,12
5,9.3,12.9,6.2,9.2,14.5
7.9,2.7,4.6,8,9,19.9
21.5,3.5,0.9,6.2,7.9,22.1
17.2,8.1,3.3,5.3,9.7,22.9
7.5,15.8,2.6,1.4,21.2,10.7
9.7,6.6,6.1,4.4,14.3,23.7
11.1,3,4.2,6.1,13.9,4.6
5,10.8,6.4,2.4,7,8.4
9.3,18.2,20.8,7.1,10.3,21.7
10.8,15.9,7.5,3.5,11.3,25.7
12.6,6.1,0.6,6.6,11.6,22.1
7.3,10.4,13.1,4.2,24.3,
2.2,21,22.2,4.2,10.5,
13.8,20,10.1,6.1,3.9,
14.1,9.6,5.9,5.3,5.7,
18.1,8,5,4.3,12.4,
14.7,6.1,6.4,2.7,21.8,
21.1,14,7.2,6.2,5.6,
13.4,2.7,6.4,4.7,3.9,
9.8,20.2,3.3,4.6,18.4,
12,11.7,9.4,5.1,4.2,
14.8,0.5,6.9,5.4,4.4,
3.9,4.8,18.7,5,4.1,
17.3,6.5,18.7,6,8.2,
20.3,12.5,7,4.9,9.8,
29.9,10.6,5.5,6.2,7.8,
16.2,13.8,1.8,10.4,16.7,
12.7,12.3,2.6,5.2,16.5,
19.2,13.6,4.7,5.4,8.1,
20.6,14.1,3.6,5.4,11.8,
15.1,13,3.2,3.2,9.8,
11.9,15.1,9.2,6.7,18.8,
9.9,21.1,8.7,7.1,17.3,
4,16.2,14.8,6.5,17.4,
5.2,19.2,20.3,3.3,20.1,
7.4,21.2,18.3,10.4,24,
10.9,13.4,16.9,5.9,14.2,
6.2,27,7.7,6.2,19.4,
7.5,14.5,7.9,8.6,18.9,
10.4,4.5,11.1,16.4,9.9,
10.8,14.2,15.5,5.4,22.3,
16.5,16.1,8.9,10.9,27.5,
17.6,14.9,11.7,15.9,28.3,
25.8,13.7,12.3,19.3,30.7,
4.3,9.1,16.1,19.2,21.8,
8.5,17.8,12.4,8,12.1,
7.6,34.8,4.2,16,18.5,
15.3,4.6,11.4,15.5,30.8,
6.9,12.6,2.7,9.1,21,
