11:00,11:35,12:15,12:50,1:25,2:00
4.25,19.01,3.96,5.10E+00,2.50E+01,2.04E+00
1.15,11.58,2.14,1.24E+01,2.67E+01,-1.17E+00
0.80,10.41,-3.05,7.75E+00,2.39E+01,-1.09E+01
6.31,17.30,-0.04,7.71E+00,2.16E+01,-4.96E+00
-2.73,14.10,1.80,1.13E+00,2.14E+01,-3.68E+00
-2.16,13.54,-0.03,3.88E+00,2.49E+01,-5.51E+00
4.42,13.99,4.52,5.57E+00,2.36E+01,-4.10E+00
2.00,13.47,2.16,9.42E+00,2.17E+01,-8.08E-01
0.38,8.97,0.22,7.36E+00,2.33E+01,-2.83E+00
2.97,13.36,-2.62,1.01E+00,2.46E+01,-3.30E+00
2.58,12.12,1.49,6.42E+00,2.59E+01,6.60E-01
2.50,12.29,2.76,8.50E+00,2.62E+01,-2.42E+00
2.15,16.77,2.26,6.05E+00,2.65E+01,2.78E+00
-3.04,12.69,-1.48,4.50E+00,2.64E+01,-3.19E+00
2.42,21.02,1.63,6.08E+00,2.89E+01,6.49E-01
1.37,14.48,-4.66,5.43E+00,2.41E+01,-3.70E+00
-4.01,17.53,-2.43,-2.47E+00,3.13E+01,2.79E+00
4.52,12.04,-0.08,5.53E+00,3.05E+01,2.36E+00
-3.78,15.17,-0.42,1.73E+00,2.40E+01,-9.70E-03
2.13,10.04,1.89,2.35E-03,2.59E+01,-1.31E+00
1.21,5.35,0.21,5.69E+00,2.76E+01,-6.13E+00
7.18,6.04,-5.07,9.00E+00,2.58E+01,2.17E+00
1.34,8.17,2.93,8.21E+00,2.82E+01,-4.36E+00
-0.89,7.05,-7.71,7.42E+00,2.27E+01,1.61E-01
3.32,7.89,-0.43,2.06E+00,3.10E+01,7.67E-01
-2.91,12.25,-0.61,4.83E+00,2.88E+01,-9.07E-01
0.89,11.86,6.32,9.85E+00,2.44E+01,-4.30E+00
1.45,17.89,1.31,6.88E+00,2.21E+01,3.77E+00
-0.26,19.13,-1.28,8.05E-02,2.74E+01,-1.25E+00
-2.08,11.98,3.19,6.60E+00,2.75E+01,1.17E-01
-5.80,10.18,0.45,4.81E+00,2.66E+01,-3.18E+00
