,Bext,Time,Denuder
187,2.13E+01,11:00,Yes
188,7.84E+00,11:00,Yes
189,9.53E+00,11:00,Yes
190,3.75E+01,11:00,Yes
191,1.89E+01,11:00,Yes
192,1.09E+01,11:00,Yes
193,1.12E+01,11:00,Yes
194,1.61E+01,11:00,Yes
195,8.92E+00,11:00,Yes
196,9.20E+00,11:00,Yes
197,4.64E+01,11:00,Yes
198,4.90E-01,11:00,Yes
199,1.71E+01,11:00,Yes
200,6.67E+00,11:00,Yes
201,6.61E+00,11:00,Yes
202,4.55E+00,11:00,Yes
203,3.26E+01,11:00,Yes
204,1.17E+01,11:00,Yes
205,1.42E+01,11:00,Yes
206,3.32E+01,11:00,Yes
207,1.28E+01,11:00,Yes
208,3.83E+01,11:00,Yes
209,6.15E+00,11:00,Yes
210,3.07E+01,11:00,Yes
211,4.91E+00,11:00,Yes
212,1.50E+01,11:00,Yes
213,8.31E-01,11:00,Yes
214,1.11E+01,11:00,Yes
215,3.83E+01,11:00,Yes
216,6.77E+00,11:00,Yes
217,-1.51E+00,11:00,Yes
218,2.15E+00,11:00,Yes
219,3.29E+01,11:00,Yes
220,3.79E+00,11:00,Yes
221,1.32E+01,11:00,Yes
222,4.59E+00,11:00,Yes
223,5.00E+00,11:00,Yes
224,4.32E+00,11:00,Yes
225,6.86E+00,11:00,Yes
226,4.12E+01,11:00,Yes
227,9.69E+00,11:00,Yes
228,1.46E+01,11:00,Yes
229,2.90E+01,11:00,Yes
230,3.50E+01,11:00,Yes
231,2.02E+00,11:00,Yes
232,2.16E+01,11:00,Yes
233,8.56E-01,11:00,Yes
234,3.41E+01,11:00,Yes
235,1.00E+01,11:00,Yes
236,2.20E+00,11:00,Yes
237,4.80E+00,11:00,Yes
238,2.15E+01,11:00,Yes
239,2.81E+01,11:00,Yes
240,2.00E+01,11:00,Yes
241,2.23E+00,11:00,Yes
242,1.50E+01,11:00,Yes
243,6.86E+00,11:00,Yes
244,6.23E+00,11:00,Yes
245,9.44E+00,11:00,Yes
246,6.81E+00,11:00,Yes
247,3.17E-01,11:00,Yes
248,8.15E+00,11:00,Yes
249,7.70E+00,11:00,Yes
250,1.19E+01,11:00,Yes
251,2.71E+01,11:00,Yes
252,9.31E+00,11:00,Yes
253,1.09E+01,11:00,Yes
254,1.37E+01,11:00,Yes
255,1.77E+01,11:00,Yes
256,8.32E+00,11:00,Yes
257,2.75E+01,11:00,Yes
258,2.91E+01,11:00,Yes
259,5.76E+00,11:00,Yes
260,5.25E+01,11:00,Yes
261,4.57E+01,11:00,Yes
262,1.74E+01,11:00,Yes
263,1.77E+01,11:00,Yes
264,1.41E+01,11:00,Yes
265,3.26E+01,11:00,Yes
266,1.43E+01,11:00,Yes
267,1.01E+01,11:00,Yes
268,1.59E+01,11:00,Yes
269,1.03E+01,11:00,Yes
270,7.45E+01,11:00,Yes
271,6.39E+00,11:00,Yes
272,2.93E+01,11:00,Yes
273,9.83E+00,11:00,Yes
274,4.86E+00,11:00,Yes
275,1.03E+00,11:00,Yes
276,1.79E+00,11:00,Yes
277,2.22E+01,11:00,Yes
278,-9.22E-01,11:00,Yes
279,4.75E+00,11:00,Yes
280,-5.88E-01,11:00,Yes
281,3.20E+01,11:00,Yes
282,2.95E+00,11:00,Yes
283,4.49E+00,11:00,Yes
284,1.90E+00,11:00,Yes
285,6.82E+00,11:00,Yes
286,1.29E+01,11:00,Yes
287,1.05E+01,11:00,Yes
288,3.05E+01,11:00,Yes
289,8.57E+00,11:00,Yes
290,2.05E+01,11:00,Yes
291,5.30E+00,11:00,Yes
292,8.44E+00,11:00,Yes
293,3.44E+00,11:00,Yes
294,8.88E+00,11:00,Yes
295,3.65E+00,11:00,Yes
296,1.32E+01,11:00,Yes
297,3.60E+01,11:00,Yes
298,1.33E+01,11:00,Yes
299,8.96E+00,11:00,Yes
300,4.58E+01,11:00,Yes
301,1.09E+02,11:00,Yes
302,6.62E+00,11:00,Yes
303,4.48E+00,11:00,Yes
304,7.28E+00,11:00,Yes
305,1.23E+01,11:00,Yes
306,5.50E+00,11:00,Yes
307,1.60E+01,11:00,Yes
308,1.56E+01,11:00,Yes
309,1.61E+01,11:00,Yes
310,9.99E+00,11:00,Yes
311,1.06E+01,11:00,Yes
312,4.00E+00,11:00,Yes
313,1.09E+01,11:00,Yes
314,3.52E+01,11:00,Yes
315,1.69E+01,11:00,Yes
316,1.90E+01,11:00,Yes
317,3.73E+01,11:00,Yes
318,5.14E+00,11:00,Yes
319,-3.69E+00,11:00,Yes
320,6.05E+00,11:00,Yes
321,2.46E-01,11:00,Yes
322,2.92E+01,11:00,Yes
323,1.57E+01,11:00,Yes
324,6.07E+00,11:00,Yes
325,1.64E+00,11:00,Yes
326,6.16E+01,11:00,Yes
327,5.16E+01,11:00,Yes
328,1.25E+01,11:00,Yes
329,2.84E+01,11:00,Yes
330,7.72E+00,11:00,Yes
331,1.16E+01,11:00,Yes
332,1.18E+01,11:00,Yes
333,-6.52E-01,11:00,Yes
334,1.48E+01,11:00,Yes
335,9.05E+00,11:00,Yes
336,3.56E+00,11:00,Yes
337,-6.36E-02,11:00,Yes
338,1.30E+01,11:00,Yes
339,1.14E+02,11:00,Yes
340,3.25E+00,11:00,Yes
341,2.58E+01,11:00,Yes
342,1.36E+01,11:00,Yes
343,1.24E+01,11:00,Yes
344,2.62E+01,11:00,Yes
345,1.73E+01,11:00,Yes
346,5.55E+00,11:00,Yes
347,3.85E+00,11:00,Yes
348,2.35E+01,11:00,Yes
349,1.03E+01,11:00,Yes
350,2.12E+01,11:00,Yes
351,7.18E+00,11:00,Yes
352,3.31E+01,11:00,Yes
353,1.37E+01,11:00,Yes
354,3.84E+01,11:00,Yes
355,6.19E+00,11:00,Yes
356,3.82E+00,11:00,Yes
357,5.18E+00,11:00,Yes
358,1.99E+01,11:00,Yes
359,-3.85E+00,11:00,Yes
360,7.60E+00,11:00,Yes
361,9.34E+00,11:00,Yes
362,1.97E+01,11:00,Yes
363,1.88E+01,11:00,Yes
364,6.11E+00,11:00,Yes
365,5.36E+01,11:00,Yes
366,6.85E+00,11:00,Yes
367,5.30E+00,11:00,Yes
368,8.30E-01,11:00,Yes
369,2.48E+00,11:00,Yes
370,7.20E+01,11:00,Yes
371,1.25E+01,11:00,Yes
372,1.13E+01,11:00,Yes
373,1.04E+01,11:00,Yes
374,1.91E+01,11:00,Yes
375,2.69E+01,11:00,Yes
376,1.60E+01,11:00,Yes
377,6.62E+00,11:00,Yes
378,1.14E+01,11:00,Yes
379,8.22E+00,11:00,Yes
380,5.61E+00,11:00,Yes
381,8.67E+00,11:00,Yes
382,1.13E+01,11:00,Yes
383,1.45E+01,11:00,Yes
384,3.10E+01,11:00,Yes
385,4.05E+01,11:00,Yes
386,1.86E+01,11:00,Yes
387,3.44E+01,11:00,Yes
388,1.93E+01,11:00,Yes
389,1.30E+01,11:00,Yes
390,2.00E+00,11:00,Yes
391,1.71E+01,11:00,Yes
392,1.44E+01,11:00,Yes
393,8.53E+00,11:00,Yes
394,2.11E+01,11:00,Yes
395,1.54E+01,11:00,Yes
396,1.92E+01,11:00,Yes
397,1.79E+01,11:00,Yes
398,8.02E-01,11:00,Yes
399,2.83E+01,11:00,Yes
400,1.72E+01,11:00,Yes
401,1.08E+01,11:00,Yes
402,1.72E+01,11:00,Yes
403,3.73E+00,11:00,Yes
404,1.76E+01,11:00,Yes
405,8.88E+00,11:00,Yes
406,8.74E+00,11:00,Yes
407,9.48E+00,11:00,Yes
408,2.10E+01,11:00,Yes
409,1.99E+01,11:00,Yes
410,1.46E+01,11:00,Yes
411,6.26E+00,11:00,Yes
412,6.53E+00,11:00,Yes
413,1.79E+01,11:00,Yes
414,9.70E+00,11:00,Yes
415,8.25E+00,11:00,Yes
416,1.56E+01,11:00,Yes
417,1.99E+01,11:00,Yes
418,1.19E+01,11:00,Yes
419,8.46E+00,11:00,Yes
420,3.87E+01,11:00,Yes
421,-9.34E-01,11:00,Yes
422,6.72E+00,11:00,Yes
423,2.67E+01,11:00,Yes
424,3.49E+00,11:00,Yes
425,1.31E+01,11:00,Yes
426,2.65E+01,11:00,Yes
427,1.63E+01,11:00,Yes
428,3.34E+01,11:00,Yes
429,2.11E+01,11:00,Yes
430,7.09E+00,11:00,Yes
431,9.56E+00,11:00,Yes
432,4.07E+01,11:00,Yes
433,9.21E+00,11:00,Yes
434,1.62E+01,11:00,Yes
435,3.95E+01,11:00,Yes
436,2.17E+01,11:00,Yes
437,5.58E+00,11:00,Yes
438,5.00E+01,11:00,Yes
439,2.71E+00,11:00,Yes
440,1.88E+01,11:00,Yes
441,9.62E+00,11:00,Yes
442,2.32E+01,11:00,Yes
443,1.13E+01,11:00,Yes
444,1.45E+01,11:00,Yes
445,1.01E+01,11:00,Yes
446,3.66E+00,11:00,Yes
447,1.17E+01,11:00,Yes
448,6.84E+00,11:00,Yes
449,8.76E+00,11:00,Yes
450,1.47E+01,11:00,Yes
451,1.23E+01,11:00,Yes
452,8.67E+00,11:00,Yes
453,3.82E+01,11:00,Yes
454,1.48E+01,11:00,Yes
455,9.37E+00,11:00,Yes
456,7.34E+00,11:00,Yes
457,4.97E+01,11:00,Yes
458,5.72E+00,11:00,Yes
459,1.52E+01,11:00,Yes
460,1.94E+01,11:00,Yes
461,7.00E+00,11:00,Yes
462,8.30E+00,11:00,Yes
463,6.80E+00,11:00,Yes
464,9.29E+00,11:00,Yes
465,2.45E-01,11:00,Yes
466,3.79E+00,11:00,Yes
467,7.07E+00,11:00,Yes
468,1.53E+01,11:00,Yes
469,1.42E+01,11:00,Yes
470,7.95E+01,11:00,Yes
471,2.90E+01,11:00,Yes
472,4.34E+01,11:00,Yes
473,5.74E+00,11:00,Yes
474,1.62E+01,11:00,Yes
475,1.12E+01,11:00,Yes
476,1.08E+01,11:00,Yes
477,2.23E+01,11:00,Yes
478,1.40E+01,11:00,Yes
479,7.34E+00,11:00,Yes
480,1.15E+01,11:00,Yes
481,1.53E+01,11:00,Yes
482,1.25E+01,11:00,Yes
483,8.44E+00,11:00,Yes
484,2.32E+01,11:00,Yes
485,3.79E+01,11:00,Yes
486,7.02E+00,11:00,Yes
487,1.24E+01,11:00,Yes
488,4.30E+00,11:00,Yes
489,-4.82E-01,11:00,Yes
490,1.66E+01,11:00,Yes
491,2.95E+01,11:00,Yes
