J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D,J,F,M,A,M,J,J,A,S,O,N,D
29.2,36.7,30.6,22.5,27.5,36.4,18.6,16.9,20.9,44,23.5,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.9,14.6,23.7,16.2,20.3,23,22.6,17.1,13.1,36.6,36.9,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,18.5,35.2,8.4,50,17,27,28.4,14.1,20.3,21.2,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7,29.2,40.5,22.3,15.9,19.9,13,39.3,14.7,16.5,39.6,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.8,25.2,37,33.8,26,17.5,12.5,15.2,14.9,27.4,34.1,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.6,30.7,55.6,38.1,18.7,22.4,19.2,22.4,13.5,20.9,12.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,31.9,46.3,70,25.6,18.3,39.1,28.4,17.2,24.1,19.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.9,23.2,45.6,60.6,97.1,24.5,36.4,21.9,13.2,33.1,21.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2,40.5,55.9,32.9,39.6,24,49.5,17.9,22.2,69.4,17,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,54.5,56,18.3,56.4,27.6,24.2,34,28.2,11.9,13.6,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.7,50,19.2,67.3,32.8,53.7,45.3,17.9,38.3,9.7,12.5,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5,51.4,21.8,17,41.6,30.8,25.9,15.1,18.1,17.3,13.8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.9,51.3,37.2,21.6,38.1,26,29.1,16,28.2,22.1,14.6,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.3,34.7,121.3,18.6,37.5,31.5,25.5,21.8,31,35.2,30.2,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.2,38.8,19.4,24.2,30.7,29.8,33.9,14,25.8,26.3,40.2,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6,40.3,29.2,64.3,26.6,31.1,28.8,14,19.1,37.8,39.8,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8,41.2,30.8,39.2,43.7,35.4,131.9,14.3,26.1,40.9,44,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5,52.2,41.9,20.8,115.5,33.7,44,26.2,32.9,42.2,56.6,116.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.3,52.8,45.1,24.7,51.4,28.8,36.6,22,30,42.4,26.3,165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
