Bscat 	Time 	Denuder 
1.64E+01	11:00	With denuder
1.07E+02	11:00	With denuder
2.92E+01	11:00	With denuder
1.39E+01	11:00	With denuder
3.18E+00	11:00	With denuder
4.30E+00	11:00	With denuder
3.35E+01	11:00	With denuder
4.82E+01	11:00	With denuder
8.02E+01	11:00	With denuder
5.85E+01	11:00	With denuder
5.87E+00	11:00	With denuder
1.78E+00	11:00	With denuder
1.19E+01	11:00	With denuder
2.62E+01	11:00	With denuder
1.21E+01	11:00	With denuder
4.83E+00	11:00	With denuder
2.78E+00	11:00	With denuder
2.40E+01	11:00	With denuder
7.18E+00	11:00	With denuder
7.90E+00	11:00	With denuder
1.32E+01	11:00	With denuder
6.71E+00	11:00	With denuder
5.51E+00	11:00	With denuder
4.48E+01	11:00	With denuder
1.56E+01	11:00	With denuder
1.02E+01	11:00	With denuder
1.50E+01	11:00	With denuder
7.40E+00	11:00	With denuder
3.59E+01	11:00	With denuder
6.76E+00	11:00	With denuder
2.19E+01	11:00	With denuder
1.73E+01	11:00	With denuder
5.93E+00	11:00	With denuder
4.03E+01	11:00	With denuder
8.26E+00	11:00	With denuder
1.56E+01	11:00	With denuder
4.00E+01	11:00	With denuder
6.71E+00	11:00	With denuder
4.84E+00	11:00	With denuder
4.60E+00	11:00	With denuder
2.55E+00	11:00	With denuder
1.78E+01	11:00	With denuder
8.67E+00	11:00	With denuder
1.32E+00	11:00	With denuder
1.17E+00	11:00	With denuder
1.19E+01	11:00	With denuder
6.66E+00	11:00	With denuder
7.42E+00	11:00	With denuder
1.92E+01	11:00	With denuder
1.42E+01	11:00	With denuder
3.05E+01	11:00	With denuder
5.58E+00	11:00	With denuder
8.23E+00	11:00	With denuder
7.46E+00	11:00	With denuder
1.67E+01	11:00	With denuder
1.94E+01	11:00	With denuder
1.32E+01	11:00	With denuder
1.10E+01	11:00	With denuder
2.23E+01	11:00	With denuder
2.20E+01	11:00	With denuder
7.20E+01	11:00	With denuder
2.65E+01	11:00	With denuder
4.13E+01	11:00	With denuder
1.22E+01	11:00	With denuder
1.49E+01	11:00	With denuder
1.16E+01	11:00	With denuder
2.76E+01	11:00	With denuder
7.64E+01	11:00	With denuder
2.76E+01	11:00	With denuder
4.19E+01	11:00	With denuder
3.91E+01	11:00	With denuder
1.94E+01	11:00	With denuder
1.79E+01	11:00	With denuder
2.92E+01	11:00	With denuder
8.23E+00	11:00	With denuder
2.77E+01	11:00	With denuder
3.89E+01	11:00	With denuder
3.89E+00	11:00	With denuder
2.28E+01	11:00	With denuder
1.93E+01	11:00	With denuder
9.56E+00	11:00	With denuder
6.62E+00	11:00	With denuder
4.25E+00	11:00	With denuder
5.02E+00	11:00	With denuder
6.43E+00	11:00	With denuder
7.20E+00	11:00	With denuder
9.86E+00	11:00	With denuder
2.70E+01	11:00	With denuder
2.31E+01	11:00	With denuder
1.48E+01	11:00	With denuder
5.92E+00	11:00	With denuder
4.82E+01	11:00	With denuder
7.62E+00	11:00	With denuder
1.99E+01	11:00	With denuder
5.73E+00	11:00	With denuder
3.09E+00	11:00	With denuder
6.32E+01	11:00	With denuder
2.22E+01	11:00	With denuder
1.40E-01	11:00	With denuder
6.13E+00	11:00	With denuder
4.50E+00	11:00	With denuder
1.03E+01	11:00	With denuder
1.09E+01	11:00	With denuder
2.59E+00	11:00	With denuder
3.07E+01	11:00	With denuder
2.65E+01	11:00	With denuder
3.58E+01	11:00	With denuder
1.25E+01	11:00	With denuder
3.86E+01	11:00	With denuder
6.72E+00	11:00	With denuder
7.73E+00	11:00	With denuder
1.17E+01	11:00	With denuder
1.35E+01	11:00	With denuder
2.90E+01	11:00	With denuder
1.38E+01	11:00	With denuder
2.28E+01	11:00	With denuder
7.78E+00	11:00	With denuder
3.08E+00	11:00	With denuder
8.51E+01	11:00	With denuder
9.53E+00	11:00	With denuder
3.83E+01	11:00	With denuder
2.24E+01	11:00	With denuder
2.30E+00	11:00	With denuder
4.64E+00	11:00	With denuder
5.49E+00	11:00	With denuder
1.81E+01	11:00	With denuder
3.89E+01	11:00	With denuder
1.17E+01	11:00	With denuder
4.26E+00	11:00	With denuder
1.94E+01	11:00	With denuder
9.06E+00	11:00	With denuder
7.09E+00	11:00	With denuder
2.28E+01	11:00	With denuder
1.66E+01	11:00	With denuder
1.69E+01	11:00	With denuder
7.04E+00	11:00	With denuder
1.39E+01	11:00	With denuder
1.66E+01	11:00	With denuder
9.28E+00	11:00	With denuder
5.31E+00	11:00	With denuder
5.96E+00	11:00	With denuder
8.32E+00	11:00	With denuder
2.36E+01	11:00	With denuder
1.99E+01	11:00	With denuder
4.20E+01	11:00	With denuder
6.63E+00	11:00	With denuder
1.00E+01	11:00	With denuder
1.48E+01	11:00	With denuder
6.12E+00	11:00	With denuder
5.12E+01	11:00	With denuder
6.74E+01	11:00	With denuder
1.27E+01	11:00	With denuder
7.12E+00	11:00	With denuder
1.55E+01	11:00	With denuder
2.40E+01	11:00	With denuder
2.05E+01	11:00	With denuder
1.13E+01	11:00	With denuder
1.56E+01	11:00	With denuder
2.42E+01	11:00	With denuder
1.06E+01	11:00	With denuder
1.21E+01	11:00	With denuder
4.79E+00	11:00	With denuder
1.35E+01	11:00	With denuder
1.48E+01	11:00	With denuder
2.46E+01	11:00	With denuder
1.39E+01	11:00	With denuder
2.91E+00	11:00	With denuder
2.66E+00	11:00	With denuder
8.37E+00	11:00	With denuder
2.99E+00	11:00	With denuder
1.26E+01	11:00	With denuder
7.15E+00	11:00	With denuder
1.44E+01	11:00	With denuder
8.31E+00	11:00	With denuder
7.96E+00	11:00	With denuder
1.06E+01	11:00	With denuder
1.50E+01	11:00	With denuder
2.23E+01	11:00	With denuder
4.22E+01	11:00	With denuder
1.54E+01	11:00	With denuder
5.43E+01	11:00	With denuder
1.53E+01	11:00	With denuder
7.66E+00	11:00	With denuder
2.45E+01	11:00	With denuder
1.82E+01	11:00	With denuder
1.46E+01	11:00	With denuder
2.17E+00	11:00	With denuder
6.82E+00	11:00	With denuder
5.00E+01	11:00	With denuder
1.16E+01	11:00	With denuder
1.69E+01	11:00	With denuder
9.01E+00	11:00	With denuder
2.02E+01	11:00	With denuder
8.58E+00	11:00	With denuder
8.63E+00	11:00	With denuder
1.59E+01	11:00	With denuder
3.82E+01	11:00	With denuder
9.51E+00	11:00	With denuder
1.77E+01	11:00	With denuder
3.30E+00	11:00	With denuder
3.54E+00	11:00	With denuder
5.67E+01	11:00	With denuder
8.89E+00	11:00	With denuder
4.27E+01	11:00	With denuder
2.19E+01	11:00	With denuder
7.17E+01	11:00	With denuder
1.34E+01	11:00	With denuder
1.52E+01	11:00	With denuder
1.08E+01	11:00	With denuder
7.12E+00	11:00	With denuder
4.58E+00	11:00	With denuder
2.40E+00	11:00	With denuder
9.08E+00	11:00	With denuder
7.00E+00	11:00	With denuder
7.39E+00	11:00	With denuder
1.02E+01	11:00	With denuder
9.23E+00	11:00	With denuder
3.91E+00	11:00	With denuder
3.28E+00	11:00	With denuder
4.26E+01	11:00	With denuder
5.22E+01	11:00	With denuder
4.73E+00	11:00	With denuder
7.84E+00	11:00	With denuder
2.51E+01	11:00	With denuder
3.47E+01	11:00	With denuder
3.65E+01	11:00	With denuder
5.05E+00	11:00	With denuder
5.82E+00	11:00	With denuder
1.16E+01	11:00	With denuder
3.69E+00	11:00	With denuder
1.30E+00	11:00	With denuder
9.01E+00	11:00	With denuder
8.13E+00	11:00	With denuder
1.11E+01	11:00	With denuder
1.80E+01	11:00	With denuder
8.31E+00	11:00	With denuder
2.10E+01	11:00	With denuder
2.21E+01	11:00	With denuder
4.49E+00	11:00	With denuder
1.81E+00	11:00	With denuder
4.98E+00	11:00	With denuder
5.79E+01	11:00	With denuder
1.46E+01	11:00	With denuder
5.68E+00	11:00	With denuder
1.04E+01	11:00	With denuder
6.39E+00	11:00	With denuder
2.44E+01	11:00	With denuder
1.32E+01	11:00	With denuder
9.17E+01	11:00	With denuder
1.42E+01	11:00	With denuder
2.30E+01	11:00	With denuder
2.24E+01	11:00	With denuder
5.98E+00	11:00	With denuder
1.33E+01	11:00	With denuder
2.55E+00	11:00	With denuder
2.05E+00	11:00	With denuder
2.44E+00	11:00	With denuder
7.49E+00	11:00	With denuder
5.28E+00	11:00	With denuder
2.30E+01	11:00	With denuder
4.09E+00	11:00	With denuder
8.95E+00	11:00	With denuder
7.22E+01	11:00	With denuder
3.80E+01	11:00	With denuder
1.50E+01	11:00	With denuder
4.31E+01	11:00	With denuder
1.40E+01	11:00	With denuder
1.22E+01	11:00	With denuder
6.97E+00	11:00	With denuder
9.77E+00	11:00	With denuder
2.10E+01	11:00	With denuder
