7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
2.428223e+00,8.15E+00,1.03E+01,2.92E+00,4.40E+01,-2.65E+00
3.180481e+00,1.19E+01,1.10E+01,3.90E+00,4.83E+01,-3.83E+00
6.537476e+00,5.51E+01,1.53E+01,2.91E+00,1.66E+02,1.46E+01
8.810364e+00,8.54E+00,1.21E+01,5.56E+00,2.29E+02,-5.42E+00
4.282349e+00,3.41E+00,1.01E+01,5.75E+00,1.57E+02,-6.58E+00
1.029926e+01,6.70E+00,7.92E+00,1.29E+00,2.60E+02,-2.79E+00
1.272211e+01,3.87E+00,1.15E+01,4.33E+00,2.28E+02,1.68E+00
2.077979e+01,2.76E+01,1.72E+01,9.60E+00,1.91E+02,-5.13E+00
1.608582e+01,6.01E+00,5.83E+00,7.89E+00,7.93E+01,-7.02E+00
2.765717e+01,5.18E+00,1.02E+01,8.48E+00,9.93E+01,-8.86E+00
8.694946e+00,4.29E+00,1.00E+01,1.46E+01,6.09E+01,-7.78E+00
6.472412e+00,2.93E+01,9.01E+00,1.11E+01,6.07E+01,-5.44E+00
8.156677e+00,4.08E+01,8.01E+00,1.26E+01,3.48E+01,-6.30E+00
3.180603e+00,5.40E+00,6.68E+00,1.39E+01,5.71E+01,3.40E+00
1.693091e+01,3.07E+00,4.06E+01,1.22E+01,5.21E+01,-6.58E+00
1.283984e+01,9.97E+00,5.57E+01,1.34E+01,4.25E+01,-1.52E+00
1.589252e+01,1.22E+01,1.01E+01,1.30E+01,5.98E+01,-3.05E+00
1.427429e+00,1.19E+01,5.21E+01,2.30E+01,3.64E+01,6.49E+00
4.343372e+01,1.55E+01,1.22E+01,1.06E+01,4.27E+01,-4.15E+00
2.582916e+01,1.01E+02,1.16E+01,9.87E+00,3.74E+01,-4.05E+00
5.353088e+00,1.81E+01,6.39E+00,1.42E+01,4.06E+01,-8.31E+00
3.117645e+01,1.08E+01,1.06E+01,1.14E+01,4.79E+01,2.97E+01
7.585083e+00,1.50E+01,1.82E+01,9.89E+00,4.02E+01,4.49E+01
4.353455e+00,7.22E+00,1.17E+01,7.82E+00,3.92E+01,-6.22E+00
1.852014e+01,1.02E+01,9.14E+00,1.37E+01,9.01E+01,3.14E+01
2.570160e+01,3.21E+01,7.32E+00,9.89E+00,3.78E+01,2.76E+01
1.776410e+01,1.99E+01,1.33E+01,7.75E+00,3.92E+01,-7.83E-01
6.247864e+00,2.41E+01,1.06E+01,1.14E+01,4.06E+01,3.81E+00
1.972394e+01,1.01E+01,1.58E+02,1.08E+01,4.34E+01,1.04E+01
5.689148e+00,1.49E+00,2.71E+01,8.76E+00,3.85E+01,-4.93E+00
1.425128e+01,1.70E+00,1.32E+01,1.26E+01,3.60E+01,7.99E+00
1.238245e+01,1.41E+01,1.34E+01,1.74E+01,3.98E+01,5.85E+00
1.029407e+01,3.92E+00,5.28E+01,1.54E+01,4.26E+01,-1.10E+00
1.770453e+01,9.21E+00,1.56E+01,1.43E+01,3.93E+01,-5.44E-01
