,Bscat ,Time ,Denuder 
176,1.76E+01,0.46,With denuder
177,4.97E+01,0.46,With denuder
178,2.94E+01,0.46,With denuder
179,3.38E+01,0.46,With denuder
180,1.92E+01,0.46,With denuder
181,5.46E+00,0.46,With denuder
182,7.95E+00,0.46,With denuder
183,7.05E+00,0.46,With denuder
184,1.06E+01,0.46,With denuder
185,7.25E+01,0.46,With denuder
186,1.53E+01,0.46,With denuder
187,7.32E+00,0.46,With denuder
188,2.60E+01,0.46,With denuder
189,2.31E+01,0.46,With denuder
190,4.37E+01,0.46,With denuder
191,4.71E+01,0.46,With denuder
192,1.60E+01,0.46,With denuder
193,4.13E+01,0.46,With denuder
194,1.16E+01,0.46,With denuder
195,3.32E+01,0.46,With denuder
196,1.80E+01,0.46,With denuder
197,2.51E+01,0.46,With denuder
198,9.61E+00,0.46,With denuder
199,1.64E+01,0.46,With denuder
200,1.07E+02,0.46,With denuder
201,2.92E+01,0.46,With denuder
202,1.39E+01,0.46,With denuder
203,3.18E+00,0.46,With denuder
204,4.30E+00,0.46,With denuder
205,3.35E+01,0.46,With denuder
206,4.82E+01,0.46,With denuder
207,8.02E+01,0.46,With denuder
208,5.85E+01,0.46,With denuder
209,5.87E+00,0.46,With denuder
210,1.78E+00,0.46,With denuder
211,1.19E+01,0.46,With denuder
212,2.62E+01,0.46,With denuder
213,1.21E+01,0.46,With denuder
214,4.83E+00,0.46,With denuder
215,2.78E+00,0.46,With denuder
216,2.40E+01,0.46,With denuder
217,7.18E+00,0.46,With denuder
218,7.90E+00,0.46,With denuder
219,1.32E+01,0.46,With denuder
220,6.71E+00,0.46,With denuder
221,5.51E+00,0.46,With denuder
222,4.48E+01,0.46,With denuder
223,1.56E+01,0.46,With denuder
224,1.02E+01,0.46,With denuder
225,1.50E+01,0.46,With denuder
226,7.40E+00,0.46,With denuder
227,3.59E+01,0.46,With denuder
228,6.76E+00,0.46,With denuder
229,2.19E+01,0.46,With denuder
230,1.73E+01,0.46,With denuder
231,5.93E+00,0.46,With denuder
232,4.03E+01,0.46,With denuder
233,8.26E+00,0.46,With denuder
234,1.56E+01,0.46,With denuder
235,4.00E+01,0.46,With denuder
236,6.71E+00,0.46,With denuder
237,4.84E+00,0.46,With denuder
238,4.60E+00,0.46,With denuder
239,2.55E+00,0.46,With denuder
240,1.78E+01,0.46,With denuder
241,8.67E+00,0.46,With denuder
242,1.32E+00,0.46,With denuder
243,1.17E+00,0.46,With denuder
244,1.19E+01,0.46,With denuder
245,6.66E+00,0.46,With denuder
246,7.42E+00,0.46,With denuder
247,1.92E+01,0.46,With denuder
248,1.42E+01,0.46,With denuder
249,3.05E+01,0.46,With denuder
250,5.58E+00,0.46,With denuder
251,8.23E+00,0.46,With denuder
252,7.46E+00,0.46,With denuder
253,1.67E+01,0.46,With denuder
254,1.94E+01,0.46,With denuder
255,1.32E+01,0.46,With denuder
256,1.10E+01,0.46,With denuder
257,2.23E+01,0.46,With denuder
258,2.20E+01,0.46,With denuder
259,7.20E+01,0.46,With denuder
260,2.65E+01,0.46,With denuder
261,4.13E+01,0.46,With denuder
262,1.22E+01,0.46,With denuder
263,1.49E+01,0.46,With denuder
264,1.16E+01,0.46,With denuder
265,2.76E+01,0.46,With denuder
266,7.64E+01,0.46,With denuder
267,2.76E+01,0.46,With denuder
268,4.19E+01,0.46,With denuder
269,3.91E+01,0.46,With denuder
270,1.94E+01,0.46,With denuder
