11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
7.02,50.46637,1.48,1.05E+01,5.93E+00,1.62E+01
11.59,22.62512,2.74,6.07E+00,4.77E+00,1.10E+01
4.00,6.445862,5.09,7.35E+00,5.95E+00,1.12E+01
5.39,30.59662,15.84,2.57E+00,2.54E+00,6.78E+01
11.37,14.00525,5.91,6.28E+00,8.16E-01,2.75E-01
13.42,7.346619,14.84,1.13E+01,4.96E+00,2.00E+01
19.91,9.645203,9.36,9.56E+00,4.74E+01,6.52E+00
5.04,13.08563,0.48,3.22E+00,3.46E+01,8.60E-01
6.53,97.60779,2.81,7.27E+00,1.63E+01,-1.22E-01
8.45,30.54254,9.11,4.55E+00,6.93E+00,6.33E+00
34.70,10.75439,14.03,9.74E+00,4.69E+00,9.18E-01
1.60,47.55566,1.69,5.41E+00,8.99E+00,7.32E-01
4.52,12.01263,29.25,7.01E+00,6.05E+00,-2.17E-01
36.06,21.46393,3.90,8.31E+00,4.76E+00,-1.72E+00
14.18,8.210999,3.92,1.76E+01,3.62E+01,9.32E+00
25.28,18.17767,19.60,9.05E+00,8.57E+00,1.66E-01
7.49,39.59137,8.55,1.44E+01,3.64E+00,2.09E+00
6.38,29.31909,4.01,7.55E+00,8.08E+00,1.82E+01
5.33,12.34259,4.40,6.74E+00,1.09E+01,1.14E+00
0.66,8.019165,4.41,1.17E+01,1.08E+01,1.69E+01
71.84,24.12866,21.68,6.03E+00,1.01E+01,1.86E+00
9.29,21.8623,2.71,4.03E+00,4.57E+00,6.76E+00
14.13,7.837402,11.69,1.15E+01,4.04E+00,2.46E+00
3.42,23.13367,2.26,3.90E+01,3.38E+00,1.74E+01
58.68,11.56073,7.76,7.93E+00,2.09E+01,1.39E+00
44.25,9.692017,8.35,8.81E+00,5.18E+00,2.30E+01
10.82,13.80316,23.69,4.97E+00,4.64E+00,8.05E-01
26.93,47.41406,53.32,3.12E+00,4.82E+00,2.71E+01
19.14,31.21442,4.52,4.20E+00,4.87E+00,3.91E+00
1.18,36.76147,2.51,6.45E+01,9.42E+00,4.23E+00
1.87,22.41364,16.22,5.04E+00,2.88E+00,3.83E+00
-0.07,153.5545,23.82,1.12E+01,1.28E+01,2.46E+00
13.18,19.40253,2.30,8.01E+00,1.16E+01,-2.16E+00
11.82,7.423462,26.20,7.00E+00,3.93E+01,2.98E+00
3.50,4.818848,9.49,9.62E+00,4.30E+00,-8.31E-01
25.08,10.00092,15.56,7.86E+00,1.08E+01,2.38E+00
3.89,18.71826,15.77,8.25E+00,4.66E+00,1.49E+00
17.53,53.26538,11.22,1.18E+01,2.79E+00,8.58E-02
-0.93,52.59454,5.12,3.73E+01,8.58E+00,1.60E+00
5.27,15.24921,7.79,9.53E+00,1.49E+01,1.22E+01
-5.59,15.83093,5.11,3.60E+01,5.46E+00,1.74E+01
-0.01,28.45874,4.26,6.68E+00,3.55E+00,1.39E+01
29.75,46.12378,3.39,7.86E+00,7.50E+00,2.53E+01
17.22,67.51648,6.48,3.96E+00,4.15E+00,9.07E+00
-1.86,15.16681,2.81,7.22E+00,2.15E+01,2.05E+01
-3.35,13.97516,11.25,5.37E+00,1.96E+01,-1.87E+00
0.56,7.463379,12.07,2.86E+00,9.94E+00,4.62E+00
7.51,5.537354,14.87,1.23E+01,3.19E+00,1.14E+00
9.93,16.70007,13.29,1.62E+01,1.58E+01,4.54E+01
-2.49,19.52234,2.05,4.39E+00,6.82E+00,8.53E+00
2.35,16.08142,2.40,2.17E+00,4.12E+00,2.15E+00
-1.78,7.926636,2.73,2.60E+00,1.58E+00,-8.12E-01
-5.11,23.69604,30.50,2.34E+00,1.14E+01,2.42E+00
-1.62,15.76709,3.81,3.88E+01,3.64E+00,-1.34E+00
37.12,14.07208,1.45,1.78E+01,1.11E+01,1.12E+01
2.26,5.618469,7.93,4.73E+00,5.03E+00,1.52E+01
14.57,14.34137,16.91,6.75E+00,3.13E+00,1.57E+01
17.90,22.53619,4.12,6.18E+00,3.16E+01,9.14E+00
35.41,22.69202,6.53,1.43E+01,6.01E+00,1.63E+01
16.30,9.460266,10.76,3.50E+01,7.72E+00,6.68E+00
-3.17,7.205505,27.80,1.25E+01,3.31E+01,5.32E+00
1.58,9.418335,4.54,1.24E+01,7.81E+00,-1.16E+00
-1.01,10.50348,2.90,1.80E+01,5.98E+00,8.98E-01
-3.25,25.6366,4.35,1.26E+01,1.86E+01,2.39E+00
5.64,24.2973,11.13,5.11E+01,7.12E+00,-3.30E-01
0.82,10.48157,1.98,1.44E+01,4.07E+00,-3.05E-01
8.55,5.182251,2.39,1.01E+01,8.15E+00,2.88E-01
-4.35,11.93939,4.04,1.08E+01,5.62E+00,1.36E+00
3.42,16.87885,24.32,3.16E+01,2.05E+01,7.99E+01
-2.69,13.78156,6.78,1.95E+01,6.70E+01,8.90E+00
9.16,17.41846,8.34,1.00E+02,5.74E+01,-2.93E+00
-5.79,43.24548,4.41,3.08E+00,8.05E+00,1.52E+01
-4.87,54.99103,29.83,1.74E+01,6.81E+00,2.94E+01
7.74,56.11945,2.65,3.64E+01,5.67E+00,1.06E+00
-9.00,23.55933,9.36,3.16E+01,4.65E+00,9.32E-02
15.05,5.154663,10.75,8.02E+00,2.42E+00,-7.04E-01
-5.98,6.946167,4.58,1.15E+01,1.01E+00,-1.14E+00
20.50,25.33105,26.30,2.57E+01,1.95E+01,-8.37E-01
0.81,8.720337,11.69,8.22E+00,9.50E+00,9.22E-02
5.33,5.884888,6.52,2.67E+01,7.53E+00,7.02E-01
-8.95,30.2771,14.26,3.58E+01,6.90E+00,-1.71E+00
7.87,8.709595,4.78,9.87E+00,1.06E+01,-2.65E-01
11.58,1.064819,7.00,2.20E+01,4.40E+00,3.85E+00
1.25,4.187866,5.59,1.37E+01,5.38E+00,-2.27E+00
7.29,1.988281,1.75,8.67E+00,9.06E+01,-1.41E+00
13.95,11.19482,20.62,7.77E+00,6.33E+00,2.52E-01
33.36,8.665344,19.41,1.04E+01,5.00E+00,2.28E+00
-0.28,85.25159,51.35,1.51E+01,9.14E+00,1.13E+00
-7.07,55.83563,8.90,1.56E+01,4.83E+01,7.27E+00
-6.39,17.86053,3.56,6.02E+00,8.64E+00,2.74E+00
10.81,19.258,5.61,2.05E+01,4.42E+00,1.11E+00
-1.40,11.85095,4.92,5.95E+01,3.87E+00,4.75E+00
20.44,17.36816,6.06,7.50E+00,3.95E+01,-2.23E+00
6.27,7.303223,12.58,1.82E+01,1.45E+01,-1.41E+00
-5.25,9.570557,4.30,5.88E+00,4.59E+00,5.50E-01
-0.92,16.35376,29.19,1.61E+01,3.16E+00,4.15E+01
-5.93,17.01154,4.59,5.10E+00,6.55E+00,1.37E+02
-4.71,6.371582,18.62,6.60E+00,8.41E+00,3.64E+01
-5.26,18.14758,9.58,1.30E+01,2.55E+01,5.95E+01
0.65,11.0816,18.47,8.52E+00,7.68E+00,4.65E+02
12.00,32.09698,5.12,6.88E+00,3.54E+00,3.69E+01
-8.92,6.932556,10.94,2.01E+01,1.73E+00,2.31E+01
1.45,36.36597,5.81,4.15E+01,2.13E+00,1.85E+01
25.26,137.6339,20.58,2.03E+01,5.25E+00,2.07E+01
6.23,16.77911,6.03,6.53E+01,4.32E+01,1.74E+01
5.69,9.471069,5.09,1.59E+01,1.39E+01,2.28E+01
20.58,9.379395,3.09,2.37E+00,2.20E+01,2.13E+01
-0.17,12.11829,1.95,1.32E+00,4.44E+00,1.13E+01
-7.67,7.128845,41.70,1.86E+01,1.81E+00,9.49E+00
-1.47,39.92847,15.81,4.81E+00,3.16E+00,8.86E+01
5.78,8.623596,1.79,6.10E+00,1.38E+01,2.70E+01
18.40,10.38239,3.41,8.43E+00,1.26E+01,1.44E+00
-4.88,25.27039,3.00,2.06E+00,1.63E+01,1.22E+01
-0.57,23.65222,3.64,6.50E+00,7.44E+00,4.87E-01
-8.28,54.37726,2.46,8.07E+00,3.02E+01,7.75E+00
-6.48,9.102478,5.13,6.32E+00,1.28E+01,4.95E+00
5.14,18.2486,9.98,3.44E+01,9.14E+00,6.25E+00
56.33,9.880371,8.00,2.43E+01,5.08E+00,3.93E+00
-1.51,10.13068,17.62,1.52E+01,4.93E+00,1.11E+00
-0.14,1.148376,26.62,1.77E+01,4.30E+00,4.24E+00
-10.53,20.62256,21.61,4.97E+01,4.01E+01,9.72E+00
-9.62,20.15332,4.49,1.50E+01,3.28E+01,6.20E+00
-3.74,6.147888,7.24,1.38E+01,3.71E+01,9.98E+00
-2.03,13.021,8.15,2.70E+01,3.84E+00,5.48E+00
-7.03,50.96637,16.25,5.72E+00,1.51E+01,8.99E+00
5.59,18.01715,32.12,5.09E+00,3.44E+00,5.00E+00
19.75,17.05884,13.74,1.24E+01,4.80E+00,2.96E+00
109.92,9.988892,1.77,8.12E+00,1.04E+01,8.51E+01
-8.43,23.44971,2.92,1.05E+01,1.36E+01,6.99E+00
-8.02,18.87329,8.96,2.89E+01,2.07E+00,4.06E+01
-7.31,7.824219,9.78,1.23E+01,7.43E+00,3.13E+02
-5.65,8.360046,8.67,7.86E+00,4.82E+00,3.32E+01
-7.06,33.95233,5.11,4.60E+00,2.42E+01,2.23E+01
5.22,16.59912,8.17,9.26E+00,1.87E+01,4.30E+01
-7.55,44.07983,40.22,1.05E+01,3.89E+00,3.95E+00
-8.43,11.76422,5.73,4.89E+00,8.33E+00,6.55E+00
14.24,16.09808,66.79,1.83E+01,4.83E+00,1.69E+00
1.78,31.57312,2.79,5.44E+00,3.90E+00,7.68E+00
14.77,12.34351,1.76,9.68E+00,1.86E+01,6.23E+00
0.27,9.328857,32.37,1.34E+01,1.75E+00,-5.53E-01
3.32,70.75568,7.41,3.82E+00,1.60E+01,1.17E+01
3.26,13.13611,6.30,3.33E+01,2.56E+01,9.75E+00
24.17,19.53662,5.47,5.45E+00,3.78E+00,1.97E+01
18.22,39.59424,9.40,1.64E+01,1.65E+01,2.89E+01
5.60,6.789062,2.47,1.92E+01,1.20E+01,1.73E+01
26.50,16.07739,19.16,1.56E+01,1.72E+01,3.47E+01
15.58,44.89185,12.14,5.72E+00,1.05E+01,5.29E+01
8.15,7.429565,4.00,4.05E+00,2.24E+01,2.09E+01
7.44,19.26324,11.88,2.64E+01,3.42E+00,1.72E+01
24.91,6.235229,19.49,1.20E+01,5.99E+00,2.40E+01
26.53,10.63739,4.50,5.61E+00,2.91E+00,8.33E+00
3.68,25.05731,44.36,9.38E+00,3.14E+00,3.65E+01
28.56,39.84827,10.17,6.09E+00,5.81E+00,3.22E+01
15.09,21.72119,6.20,7.71E+00,6.09E+00,8.90E+00
5.74,9.329224,15.09,6.58E+00,3.70E+00,7.90E+00
12.56,59.70544,8.40,8.52E+00,2.86E+00,2.29E+00
4.57,26.43835,5.07,4.34E+00,2.10E+01,2.58E+00
19.84,59.54395,16.74,8.03E+00,1.02E+01,1.40E+01
26.53,49.42688,4.39,4.46E+00,3.93E+00,2.96E+01
50.72,36.49677,26.97,8.00E+00,7.06E+00,2.32E+01
22.34,9.582397,2.07,1.12E+01,4.67E+00,1.26E+01
5.99,7.007202,5.11,9.40E+00,3.33E+00,3.03E+01
25.83,23.62006,5.42,4.18E+00,9.57E+00,1.53E+01
19.11,10.46033,19.60,5.16E+00,3.19E+01,7.94E+00
31.54,15.67194,21.17,4.38E+00,8.07E+00,3.69E+01
16.10,4.930786,4.88,3.23E+00,2.27E+00,1.16E+01
24.38,11.24341,23.01,7.52E+00,1.24E+01,2.08E+01
14.19,10.82642,2.00,6.34E+00,1.83E+01,6.66E+01
7.16,25.20245,3.31,9.80E+00,6.29E+00,2.39E+01
9.10,13.83588,9.97,4.40E+01,3.62E+00,9.33E+00
6.68,25.47357,7.06,4.66E+01,3.88E+00,9.66E+00
8.69,42.68585,10.35,2.01E+01,1.31E+01,1.63E+01
8.46,22.07233,10.68,1.74E+01,4.61E+00,5.53E+01
4.75,27.01788,2.40,2.95E+01,3.98E+00,4.63E+01
3.84,7.104126,8.11,9.95E+00,2.20E+00,4.54E+00
4.55,10.05658,5.53,1.06E+01,8.77E+00,6.50E+01
19.50,13.89453,14.79,5.38E+01,5.78E+00,3.75E+01
2.45,31.32617,4.67,2.98E+01,8.47E+00,2.16E+01
-0.07,15.5614,9.13,3.50E+01,1.00E+01,2.14E+01
5.07,7.472412,9.88,7.38E+01,5.91E+00,2.30E+01
20.53,25.58191,18.37,1.41E+01,2.19E+00,7.70E+01
6.37,14.07281,122.19,3.57E+01,3.33E+01,1.35E+01
7.09,46.94586,2.95,7.31E+00,1.08E+01,9.95E+00
5.03,13.34595,3.89,1.48E+01,3.99E+00,1.73E+01
2.86,12.37775,2.57,2.02E+01,6.70E+00,7.88E+00
3.94,10.13586,12.41,2.10E+01,9.70E+00,1.77E+01
9.54,14.33978,9.44,1.57E+01,1.37E+01,8.14E+00
3.81,8.201721,24.63,1.34E+01,1.28E+01,5.30E+00
5.52,8.547485,12.17,2.03E+01,1.75E+00,1.82E+01
28.16,38.26575,53.85,1.40E+01,8.61E+00,2.30E+01
7.63,75.91315,10.01,7.03E+00,8.34E+00,1.38E+01
17.56,17.20923,16.74,4.62E+00,6.69E+00,8.63E+00
8.92,27.95697,6.29,5.40E+00,1.51E+00,4.21E+01
14.42,20.30017,24.59,5.95E+00,5.42E+00,1.43E+01
4.07,21.7843,20.86,6.19E+00,5.19E+00,2.48E+01
8.39,48.07526,9.10,1.08E+01,7.25E+00,6.22E+00
35.86,5.849426,4.89,1.78E+01,4.62E+00,7.01E+01
27.18,12.89105,6.19,1.43E+01,4.63E+00,7.55E+00
11.47,44.92365,15.60,7.72E+00,7.03E+00,1.20E+01
9.32,10.12482,5.54,9.76E+00,5.19E+00,2.41E+01
9.48,8.761108,6.36,3.05E+01,4.04E+00,2.03E+01
23.83,5.065552,5.04,5.99E+00,1.83E+01,4.87E+01
11.72,29.11523,6.54,8.93E+00,2.79E+00,2.50E+01
4.14,9.209412,18.23,7.61E+00,3.08E+00,8.02E+00
12.47,5.039001,2.90,1.84E+01,9.12E-01,3.92E+00
19.08,5.190796,3.98,6.14E+00,9.54E+00,1.96E+01
0.91,38.15009,6.19,1.70E+01,1.99E+00,9.15E+00
12.73,8.826172,7.85,5.12E+01,3.09E+00,1.62E+01
9.93,4.302612,7.45,1.70E+01,3.22E+00,8.33E+00
23.32,18.55078,32.53,8.11E+00,5.47E+00,7.76E+00
11.71,8.215698,6.35,2.47E+01,1.91E+01,6.82E+00
26.44,19.52075,18.30,8.70E+00,6.73E+00,8.56E+00
13.86,8.758972,4.16,5.69E+00,5.29E+00,7.70E+00
2.97,11.36279,4.32,5.41E+00,9.60E+00,5.91E+00
19.50,7.386414,14.38,1.59E+01,1.85E+00,8.58E+00
9.35,13.16266,9.09,1.98E+01,1.35E+00,5.14E+00
10.34,12.54309,7.08,6.74E+00,1.13E+01,7.95E+00
11.52,40.06042,4.91,6.81E+00,6.27E+00,1.42E+01
15.01,25.60645,4.85,2.53E+01,1.46E+01,3.38E+01
6.55,14.41797,30.34,9.06E+01,1.98E+01,6.81E+00
11.45,6.227905,18.43,1.49E+01,9.39E+00,4.92E+00
24.32,26.47858,3.05,8.86E+00,2.89E+01,2.02E+01
41.81,8.811462,13.22,6.75E+00,1.10E+01,2.50E+01
2.38,18.72235,5.22,1.87E+01,5.04E+00,5.45E+00
3.80,8.287598,2.47,7.43E+00,2.04E+01,5.87E+00
7.60,10.22748,9.15,1.03E+01,2.36E+00,1.40E+01
12.17,9.502319,4.04,1.72E+01,3.36E+01,8.19E+00
2.76,4.929321,7.75,9.12E+00,5.52E+00,7.69E+00
70.00,40.20593,3.13,2.51E+01,1.07E+01,9.69E+00
32.10,20.51526,3.94,8.40E+00,9.26E+00,8.48E+00
2.79,39.51398,5.55,6.52E+00,3.31E+00,1.46E+01
29.49,92.48584,7.66,1.04E+01,5.89E+00,2.33E+00
6.71,26.91644,8.23,1.04E+01,4.76E+00,4.17E+00
9.41,95.89508,5.64,1.40E+01,3.95E+00,2.07E+01
2.80,58.65338,9.41,9.11E+00,1.18E+01,5.45E+00
3.06,8.119934,7.13,4.42E+00,4.51E+00,1.13E+01
30.57,23.74487,5.47,1.23E+01,5.44E+01,2.99E+00
6.35,13.48395,7.12,1.85E+01,1.20E+01,2.64E+01
18.65,12.35095,9.56,6.14E+00,3.12E+01,1.12E+01
15.01,89.74689,10.90,2.92E+01,9.07E+00,5.27E+00
5.95,13.11121,16.03,1.23E+01,1.02E+02,4.42E+00
18.18,12.24872,8.04,5.77E+00,5.55E+00,9.94E+00
25.82,13.07617,53.46,3.59E+01,1.73E+01,1.34E+01
7.59,6.864502,74.78,2.09E+01,9.88E+00,1.52E+01
14.21,6.914307,5.68,1.22E+01,2.18E+00,1.27E+01
11.18,63.69025,1.85,5.47E+00,2.04E+01,8.49E+00
13.26,44.32318,4.44,9.49E+00,1.64E+01,3.78E+00
9.12,14.21472,7.63,2.14E+01,1.53E+01,1.04E+01
11.89,19.20569,19.68,1.30E+01,3.04E+01,2.53E+01
51.19,5.441772,2.96,8.78E+00,6.84E+00,1.68E+01
9.70,4.44165,14.25,5.42E+00,4.61E+00,9.36E+00
4.50,9.796631,4.61,6.30E+00,4.48E+00,1.51E+01
10.33,11.93365,17.37,1.70E+01,7.50E+00,1.02E+01
3.62,72.06836,5.71,1.30E+01,9.47E+00,4.18E+00
7.32,43.63855,16.95,7.28E+00,4.94E+00,3.47E+01
19.58,8.272888,7.69,4.02E+00,2.90E+00,8.20E+00
7.59,22.79694,41.71,1.48E+01,2.70E+00,6.07E+00
22.63,24.13849,3.74,6.44E+00,1.33E+01,3.01E+00
11.65,12.17316,22.84,8.97E+00,1.24E+01,3.42E+01
17.29,32.68134,32.35,1.62E+01,3.68E+01,6.70E+00
5.74,29.30963,6.65,1.71E+01,7.32E+00,1.28E+01
16.74,7.424744,6.48,7.82E+00,3.14E+00,1.55E+01
14.30,12.77405,7.01,6.46E+01,4.85E+00,4.65E+00
25.88,7.946045,41.96,1.13E+01,5.68E+00,1.04E+01
23.32,8.505249,27.84,2.90E+01,2.72E+01,1.40E+01
8.21,3.566956,12.89,1.92E+01,8.54E+00,2.72E+01
5.75,57.995,13.35,8.93E+00,1.17E+01,9.18E+00
31.38,53.42358,3.57,8.78E+00,2.89E+00,7.10E+00
15.49,10.81116,13.68,2.71E+01,1.51E+01,5.22E+00
9.03,10.6886,6.48,3.56E+01,7.21E+00,3.82E+00
3.90,8.501343,29.62,4.11E+00,3.56E+01,9.17E+00
21.18,3.212646,33.08,9.29E+00,2.53E+01,2.54E+01
3.08,24.01727,6.23,6.62E+00,1.61E+01,2.80E+01
11.87,7.396057,3.59,2.70E+01,8.27E+00,4.60E+00
14.61,3.24823,7.20,8.34E+00,6.13E+00,9.73E+00
5.30,9.346191,6.56,2.88E+01,3.30E+00,4.46E+00
67.06,21.00897,14.20,1.02E+01,7.49E+00,8.39E+00
7.63,11.01813,7.38,1.77E+01,1.59E+01,1.23E+01
22.29,21.03003,7.10,1.52E+01,2.25E+01,8.15E+00
6.03,12.69855,15.94,6.95E+00,1.29E+01,2.86E+01
17.78,7.631531,43.36,3.85E+00,1.03E+01,1.19E+01
3.02,10.0849,7.66,5.73E+00,3.21E+01,9.39E+00
3.84,26.61011,32.86,7.79E+00,7.60E+00,3.37E+01
7.94,8.698242,7.00,5.81E+00,6.94E+00,1.86E+01
18.46,11.0191,5.11,1.86E+01,2.89E+01,3.70E+00
9.28,25.26562,4.54,1.13E+01,7.23E+00,2.55E+01
60.42,19.40186,6.85,9.67E+00,4.97E+00,8.94E+00
99.19,6.881287,5.54,1.04E+01,1.36E+01,1.14E+01
3.63,34.41431,5.33,9.22E+00,7.21E+00,8.86E+00
41.69,16.47119,10.22,1.36E+01,2.24E+01,2.50E+01
31.12,54.25208,8.20,1.21E+01,3.46E+01,1.74E+01
3.91,10.47443,11.93,2.61E+01,5.16E+00,2.68E+01
2.33,104.2247,5.47,6.88E+01,7.69E+00,5.86E+00
1.94,37.48651,3.56,1.81E+01,1.28E+01,8.37E+00
4.90,6.676636,5.66,7.07E+01,4.37E+01,1.05E+01
1.01,9.929443,16.02,5.19E+01,1.39E+01,4.71E+01
6.37,20.53442,33.73,1.06E+01,9.24E+00,1.39E+01
10.65,18.95172,7.70,2.09E+01,2.59E+01,1.30E+01
12.17,22.17859,9.01,6.97E+00,2.73E+00,1.39E+01
3.48,29.18408,6.81,1.76E+01,3.81E+00,3.05E+01
5.77,17.63177,6.98,1.20E+01,2.26E+01,9.55E+00
9.65,25.21643,17.53,1.13E+01,5.81E+01,5.43E+00
11.38,14.29285,9.60,2.27E+01,1.86E+01,6.06E+00
16.97,29.23901,32.22,1.54E+01,4.60E+00,7.36E+00
6.28,24.56567,31.45,1.74E+01,2.07E+00,4.88E+00
12.76,5.009766,6.88,3.39E+01,1.26E+01,2.07E+01
18.83,10.83929,12.58,8.01E+00,5.41E+00,6.16E+00
14.97,37.53809,41.06,5.57E+00,2.37E+01,4.46E+00
5.34,2.377808,4.36,8.68E+00,1.30E+01,3.00E+00
3.89,25.35284,5.17,1.47E+01,7.53E+00,2.71E+01
14.53,9.979248,11.48,1.94E+01,1.74E+01,2.22E+01
3.68,27.45264,12.77,4.70E+00,7.83E+00,5.82E+00
4.98,10.01038,8.63,8.66E+00,3.56E+01,3.40E+00
60.37,14.73511,13.52,1.30E+01,6.46E+00,2.42E+01
17.24,20.38208,7.09,6.53E+00,2.13E+01,1.54E+01
7.13,75.27277,17.79,7.97E+00,9.11E+00,9.51E+00
8.44,28.09454,6.14,1.59E+01,1.73E+01,7.16E+00
32.71,12.52612,98.30,1.49E+01,1.13E+01,9.97E+00
13.67,19.16821,6.90,1.13E+01,7.90E+00,1.38E+01
36.87,50.77808,24.44,3.22E+01,5.01E+00,4.55E+00
1.70,9.192932,14.89,7.06E+00,6.96E+00,1.76E+01
45.60,4.823303,7.11,5.54E+01,7.64E+00,1.49E+01
23.05,7.504456,4.97,2.26E+01,2.24E+00,1.13E+01
13.18,16.3125,15.48,1.05E+01,2.67E+01,1.03E+01
33.24,8.838013,8.87,2.35E+01,2.66E+00,9.27E+00
13.30,8.430115,8.74,7.11E+00,1.17E+01,9.91E+00
23.43,10.09705,2.26,1.86E+01,3.51E+01,7.19E+00
4.35,9.04364,9.30,2.71E+01,7.85E+00,1.25E+01
26.59,67.05206,32.32,2.40E+01,2.90E+00,7.54E+00
68.35,27.87634,66.99,1.54E+01,2.62E+01,5.38E+00
37.06,17.44861,10.81,1.01E+01,4.64E+00,2.26E+01
24.70,22.89349,4.28,5.83E+00,3.30E+01,1.49E+01
7.91,17.56384,15.56,6.63E+00,8.00E+00,1.03E+01
13.57,62.53754,11.75,1.78E+01,2.13E+00,1.13E+01
19.38,49.41382,10.30,4.07E+01,1.38E+01,5.77E+01
24.95,47.66187,3.12,1.04E+01,7.92E+00,1.48E+01
5.37,33.13641,3.91,8.89E+00,1.23E+01,2.11E+01
5.17,14.70984,2.78,8.17E+00,1.97E+01,4.49E+01
7.21,9.64679,4.75,1.58E+01,1.57E+01,9.53E+00
7.01,77.48602,11.69,1.47E+01,2.63E+00,6.49E+00
172.91,27.7749,6.31,2.87E+01,3.48E+00,9.35E+00
8.13,34.46582,5.84,8.36E+01,5.59E+00,1.66E+01
2.40,12.51068,3.55,7.36E+00,2.28E+00,1.02E+01
4.67,55.19141,24.77,1.52E+01,1.21E+01,2.08E+01
7.08,26.81665,11.10,1.52E+01,3.25E+01,2.10E+01
27.80,17.03992,12.48,8.62E+00,9.70E+00,8.02E+00
14.44,7.197449,9.15,1.21E+01,4.35E+00,6.60E+00
32.61,14.02722,54.94,4.15E+01,7.36E+00,9.41E+00
18.06,29.9519,20.58,1.03E+01,3.42E+01,6.17E+00
16.27,157.4678,2.57,8.55E+00,6.98E+00,2.34E+01
5.17,13.38605,5.01,3.07E+01,4.88E+00,5.83E+00
8.06,8.997131,6.35,1.70E+01,7.71E-02,1.06E+01
10.24,10.81488,7.82,1.86E+01,5.91E+01,1.12E+01
17.47,3.566956,4.78,5.17E+00,1.90E+00,1.07E+01
45.83,40.29242,11.70,7.44E+00,6.22E+00,1.36E+01
5.49,25.54773,4.16,3.03E+01,4.39E+01,6.83E+00
12.34,15.12701,14.39,1.41E+01,2.12E+01,1.14E+01
40.20,7.497009,10.56,7.45E+00,2.66E+01,2.33E+01
23.01,28.31561,9.19,1.72E+01,6.54E+00,2.71E+01
18.86,21.0061,1.92,1.14E+01,8.79E+00,1.83E+01
30.92,12.49738,10.04,1.08E+01,1.61E+01,6.07E+00
34.44,22.24762,10.41,9.04E+00,7.47E+00,8.45E+00
21.80,29.39642,31.13,5.21E+00,1.35E+01,6.17E+00
7.26,12.82745,33.02,1.33E+01,6.45E+01,1.06E+01
18.76,16.82739,4.10,4.76E+00,3.98E+00,3.88E+00
6.95,9.828796,3.44,1.15E+01,4.46E+00,9.17E+00
13.39,13.30682,9.92,1.22E+01,1.06E+01,4.23E+01
27.95,11.40875,25.56,8.93E+00,5.23E+00,6.85E+00
41.95,10.85376,7.77,9.37E+00,5.95E+00,5.51E+00
9.54,12.87372,8.15,1.67E+01,3.93E+00,1.39E+01
12.74,45.06342,8.83,2.85E+01,7.85E+00,1.59E+01
8.45,8.048035,3.68,5.79E+00,7.51E+00,1.05E+01
12.54,7.436951,5.99,4.26E+00,4.17E+00,7.08E+00
102.32,180.8131,7.90,5.24E+00,6.48E+00,1.16E+01
6.73,18.6355,8.93,2.05E+01,1.56E+01,2.96E+01
11.60,11.39368,61.42,1.61E+01,3.13E+01,3.85E+01
12.40,15.65314,6.55,2.38E+01,3.22E+01,1.07E+01
16.41,6.82428,3.77,9.04E+00,9.07E+00,5.24E+01
14.77,19.15454,5.16,5.43E+00,2.81E+00,1.05E+01
8.30,21.04755,9.89,3.43E+01,2.97E+00,7.68E+00
3.28,17.00739,18.29,1.06E+01,3.21E+01,5.63E+00
12.32,25.96136,33.35,7.81E+00,1.02E+00,2.72E+01
11.93,7.074646,9.90,7.39E+00,4.05E+00,1.99E+01
16.69,21.78857,2.02,1.03E+01,1.35E+00,1.36E+01
8.39,14.77258,3.84,2.88E+01,3.43E+00,1.59E+01
28.20,5.574951,1.08,1.71E+01,1.13E+01,1.20E+01
9.01,14.2948,5.96,2.20E+01,6.87E+00,1.79E+01
4.75,7.391174,100.66,2.74E+01,2.64E+00,2.70E+01
4.39,34.05151,8.63,1.25E+02,8.65E+00,1.62E+01
11.53,11.20081,27.53,9.46E+00,2.86E+00,1.11E+01
8.49,20.01288,4.65,1.34E+01,7.89E-01,1.76E+01
6.02,15.12579,4.78,4.88E+01,1.09E+01,5.09E+01
6.58,22.18329,5.55,8.72E+00,7.68E+00,6.68E+00
30.73,17.69983,2.03,1.73E+01,5.18E+00,9.14E+00
22.40,10.17816,2.25,4.74E+01,7.37E+00,3.86E+01
26.42,46.15973,13.23,5.91E+00,4.69E+00,2.83E+01
11.00,46.36237,3.56,6.20E+00,1.24E+01,7.43E+00
13.38,11.17004,22.50,1.88E+01,6.18E+01,7.87E+00
6.22,7.675781,8.10,8.90E+01,5.88E+00,3.19E+01
12.87,26.06262,10.45,2.11E+01,2.40E+00,3.76E+00
16.74,15.55023,4.38,7.30E+00,6.35E+00,1.17E+01
6.06,19.62134,6.94,5.22E+00,2.78E+01,5.91E+00
8.74,14.80707,6.15,7.69E+00,1.23E+01,1.85E+01
14.64,16.09015,20.04,4.61E+01,1.53E+01,2.63E+01
11.06,40.55023,18.58,7.06E+00,1.79E+01,5.75E+01
11.02,26.92517,10.92,1.68E+01,9.32E-01,4.42E+00
14.15,9.052246,18.12,1.60E+01,6.04E+00,9.80E+00
21.17,42.9519,7.26,1.01E+01,6.00E+00,1.78E+01
