11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
8.88,36.23596,3.42,5.62E+00,1.40E+01,7.15E+00
1.18,55.3736,2.07,1.04E+01,3.37E+00,3.31E+00
3.58,3.475281,6.43,1.73E+01,4.93E+00,3.01E+01
4.97,10.19531,-0.71,2.42E+00,3.59E+01,2.58E+00
7.17,3.507263,1.46,5.27E+00,-1.76E+00,4.06E+00
10.10,5.16803,0.39,8.01E+00,1.48E+00,1.89E+01
5.18,24.05316,-0.14,2.38E+00,-5.70E+00,1.54E+01
17.67,19.0097,5.04,8.16E+00,2.55E+01,1.20E+01
13.96,1.233459,24.34,1.02E+01,-2.47E+00,4.88E+00
7.70,24.84467,14.18,2.34E+01,-2.34E+00,2.06E+01
4.33,26.07117,0.61,2.34E+01,5.73E+01,4.42E+01
3.11,4.393677,3.93,6.70E+00,1.40E+00,9.57E+00
5.91,0.9151001,27.48,7.12E+00,4.36E+00,6.00E+01
31.04,42.63708,112.73,4.81E+00,7.78E+00,1.32E+01
12.79,-3.55719,4.52,3.26E+00,-2.88E+00,5.83E+00
27.74,-1.012878,28.98,3.47E+00,5.20E+01,2.32E+01
3.14,-4.075806,6.27,4.35E+01,-9.94E-01,5.15E+01
14.02,-2.149048,1.94,3.39E+00,-4.73E+00,3.55E+00
15.67,3.475342,6.90,1.68E+01,4.91E+00,8.42E+00
37.59,7.981628,31.35,2.84E+00,2.13E+00,1.21E+01
5.79,-3.784363,4.72,8.68E+00,-1.03E+00,9.30E+00
-0.37,-0.05444336,4.60,1.00E+01,-5.60E+00,2.13E+01
7.49,-3.555359,0.12,9.05E+00,-1.49E+00,1.59E+02
5.60,-3.600281,2.57,1.44E+01,5.18E+01,3.77E+00
60.49,-1.659302,7.77,6.74E+00,6.52E+00,2.77E+00
5.95,-1.686768,24.39,1.19E+01,4.08E+00,6.05E+00
34.04,43.0412,64.27,1.23E+01,3.24E+01,1.18E+00
14.22,4.064453,40.91,1.31E+01,-4.82E+00,7.60E-01
8.06,-0.6216431,4.93,9.45E+00,-4.11E+00,5.29E+00
3.77,3.286194,0.28,7.41E+00,5.83E-01,4.30E+00
5.61,7.132996,4.07,9.48E+00,2.22E-01,2.66E+01
10.80,0.3085938,34.14,2.39E+01,-3.27E+00,2.16E+01
35.69,0.6207886,6.79,1.21E+01,-3.22E+00,1.56E+00
36.71,4.240601,24.56,7.76E+00,8.28E+00,6.64E+00
18.96,6.873169,0.64,2.40E+01,-2.18E+00,1.48E+01
29.41,-1.69397,12.42,2.54E+01,-8.30E+00,3.68E+01
13.73,2.894531,7.47,1.11E+01,1.48E+01,3.13E+00
9.38,-3.771423,29.22,2.40E+00,-2.79E+00,5.04E+00
2.95,-2.079895,4.50,1.17E+01,5.30E+00,5.57E-01
2.40,2.603455,3.17,2.69E+00,3.56E+01,8.55E+00
38.51,0.8546753,5.54,1.52E+01,-5.40E+00,8.70E+00
3.66,3.063965,1.67,8.65E+00,5.31E+01,-1.69E-01
9.63,30.93286,6.41,1.21E+01,-2.85E+00,2.05E+00
35.32,9.604187,14.31,7.15E+00,9.59E+01,4.51E+00
6.10,3.00293,6.61,1.76E+00,7.44E+00,3.67E+00
2.22,189.0426,46.69,7.85E+00,7.76E+00,-9.67E-01
60.09,8.133301,4.68,4.47E+00,3.95E+01,4.06E+00
30.75,24.62793,10.79,5.81E+00,-3.07E+00,8.82E+00
0.67,6.87323,10.74,4.31E+01,1.20E+01,-5.41E-02
33.30,-3.575439,5.85,1.83E+01,8.84E+00,1.61E+01
16.09,12.16742,4.03,2.32E+01,-1.77E+00,1.12E+00
5.29,4.259705,55.27,8.30E+00,-5.25E+00,6.60E-01
3.85,28.47864,28.11,4.95E+00,4.26E+00,1.45E+01
2.17,2.14563,4.71,1.14E+01,2.60E+01,6.28E+00
16.59,3.994141,8.82,1.33E+01,3.56E+01,6.49E+00
6.56,7.394165,15.80,6.60E+00,-3.26E+00,8.92E+00
24.06,15.88934,19.79,2.43E+01,1.59E+01,1.06E+01
75.29,19.9231,2.70,1.01E+01,1.16E+01,2.85E+01
7.99,9.455017,0.61,1.29E+01,-6.01E-01,1.35E+01
13.56,13.59192,0.51,4.39E+01,4.56E+00,4.53E+00
3.22,17.26672,12.02,1.79E+01,1.11E+01,9.13E+00
5.71,4.509949,0.11,4.46E+00,5.73E+00,5.21E+00
