7/1/2024,7/2/2024,7/3/2024,7/4/2024,7/5/2024,7/6/2024
 1.913675e+01,3.03E+01,4.10E+01,7.73E+00,1.38E+02,-3.17E+00
 1.424689e+01,1.95E+01,3.52E+01,1.63E+00,1.14E+02,-8.16E+00
 3.560028e+00,2.88E+01,3.46E+01,3.97E+00,1.21E+02,-9.59E+00
 7.228699e+00,6.64E+01,4.02E+01,2.97E-01,2.48E+02,8.92E+00
 1.582617e+01,2.06E+01,3.75E+01,1.19E+00,2.74E+02,-9.43E+00
 5.217041e+00,1.74E+01,3.30E+01,5.70E-01,2.31E+02,-1.00E+01
 7.979462e+00,1.96E+01,2.79E+01,-2.99E+00,3.41E+02,-5.34E+00
 9.095245e+00,2.36E+01,3.74E+01,-3.08E+00,2.87E+02,-7.66E-01
 2.002374e+01,3.90E+01,4.29E+01,5.17E+00,2.33E+02,-1.44E+01
 2.606137e+01,2.03E+01,2.46E+01,-6.58E-01,1.51E+02,-1.66E+01
 2.289075e+01,1.58E+01,2.89E+01,1.51E+01,1.83E+02,-1.40E+01
 4.082864e+01,2.46E+01,2.96E+01,2.99E+01,1.03E+02,-5.54E+00
 2.143060e+01,3.78E+01,3.61E+01,2.79E+01,8.61E+01,-1.63E+01
 1.714078e+01,5.37E+01,3.03E+01,2.11E+01,6.07E+01,-6.44E+00
 1.483560e+01,1.96E+01,3.31E+01,3.17E+01,8.28E+01,-5.95E-01
 4.658844e+00,1.20E+01,5.40E+01,2.46E+01,6.95E+01,-1.18E+01
 2.360388e+01,1.92E+01,7.10E+01,3.08E+01,6.74E+01,-1.26E+01
 9.707336e+00,2.27E+01,2.87E+01,2.26E+01,7.42E+01,-1.16E+01
 1.293738e+01,1.75E+01,6.73E+01,3.35E+01,4.61E+01,-2.59E+00
 1.235962e-01,2.55E+01,2.91E+01,2.05E+01,6.13E+01,-6.28E+00
 4.716299e+01,1.12E+02,3.39E+01,1.88E+01,5.59E+01,-8.96E+00
 2.516382e+01,2.21E+01,2.99E+01,3.33E+01,5.58E+01,-1.46E+01
 7.601379e+00,2.34E+01,3.10E+01,2.59E+01,6.54E+01,1.73E+01
 3.970282e+01,1.81E+01,4.47E+01,2.28E+01,6.16E+01,4.24E+01
 9.312744e+00,2.22E+01,3.96E+01,1.93E+01,5.57E+01,-4.75E+00
 8.876923e+00,2.22E+01,3.06E+01,3.22E+01,1.02E+02,3.35E+01
 2.778293e+01,4.54E+01,7.43E+01,2.61E+01,5.16E+01,2.21E+01
 3.324503e+01,3.71E+01,5.97E+01,1.34E+01,5.18E+01,3.39E+00
 2.390399e+01,2.92E+01,9.91E+00,1.98E+01,5.95E+01,-7.47E-01
 5.427216e+00,1.88E+01,1.86E+02,1.69E+01,5.38E+01,3.95E+00
 1.383987e+01,2.14E+00,5.26E+01,1.66E+01,5.60E+01,-6.32E+00
 4.678558e+00,4.26E+00,5.23E+01,1.97E+01,4.87E+01,6.33E+00
 1.877280e+01,2.89E+01,1.56E+02,3.21E+01,5.32E+01,-5.27E-01
 1.439545e+01,1.35E+01,4.24E+01,2.55E+01,6.22E+01,-6.67E+00
 1.533685e+01,1.57E+01,4.04E+01,3.46E+01,5.00E+01,-3.18E+00
 2.055978e+01,2.67E+01,2.74E+01,3.75E+01,5.71E+01,-8.92E-01
