2016,2017,2018,2019,2020,2021
19.8,27.1,25.5,24.2,19.5,27.1
23.4,20.3,26.9,27.7,18.7,21.2
21.7,22.2,26.1,37.5,41.5,29.9
26.7,18.1,22.6,27.2,32,48.7
79,22.2,35.3,35.5,27.4,31.4
35.4,26.3,29.9,27.5,64.9,39
32.7,29.9,29.2,17.8,38.6,23.3
25.9,28.6,32.1,18.7,28.1,26.5
23.8,22.2,40.9,20.6,25.7,23.4
25.2,28,30.4,27.9,20.5,22.3
32.5,40.4,22.3,25.4,19.3,36.5
30.3,51.1,28.1,30,18.9,30.9
31.9,36.2,28.8,65.6,18.4,27.2
34.5,25.6,29,32.9,19.6,22.3
82.1,31.5,35.9,26.8,19.8,33.3
36.5,34.2,43.9,128.5,30,23.3
18.8,29.4,29.2,52.4,24.7,29.7
23.3,24.9,49.1,65,20.3,22.6
27.3,34,30.6,45.3,21.1,21.1
21.4,46.7,25.2,32,23.1,49.6
40.6,32.5,27,24.3,19.3,18.7
40.4,30.4,25,99.5,18.4,20.8
47.9,38.5,30.1,48,22.7,25.1
52.1,56.1,36.2,25.5,25.2,28.9
47.4,43.8,24.4,25.6,25.4,26.9
28.5,36.4,26.2,38.1,28.1,21.1
36.1,25.7,28.8,29,20.9,37.4
33,25.6,29.7,28.4,16.6,23.1
27.5,27.2,27.8,27.3,16,30.4
20.3,33.3,34.5,32.2,17,29.4
22.4,38.1,36,18.9,19.8,93
23.8,55.4,59.7,32.5,28.2,23.9
37,26.3,26.9,28.4,46.6,34.2
22.1,33.4,79.2,33,39.3,49.2
27,49,38.9,32.1,25.3,26
26.1,30.7,32.8,42.8,20.5,25.1
33.2,20.6,41.4,27,35.5,25.2
31.9,19.1,50.2,16.6,22.4,23
26.1,16.1,24.2,29.9,35.2,25.2
33.8,16.9,28.8,38.5,50.7,72.6
24,16,32.9,40.4,23.4,57.3
21.4,34.9,47.9,34.7,20.7,37.9
30.4,25,36.7,23.9,37.7,22.1
25.5,31.3,37.8,32.2,24.1,23.1
26.8,19,19,29.7,18.1,24.9
25.4,20,19.4,30.5,16,32.1
24,18.1,26.8,28.1,18.1,34.4
26.9,23.7,21.9,43.2,23.7,72.2
28.6,25.2,29.2,30.1,31.4,109.4
29.4,24.4,27.3,27.2,16.4,68.7
31,21,26.4,29,23.3,53.8
44,25.6,26,42.9,81.2,35.3
44.9,24,46.2,38.5,27.2,18.1
60.1,19,42,30.2,25.6,28.1
32.9,20.7,43.2,30.9,39.7,38.7
21.9,,30.9,24,44.2,10.2
18.7,26.4,45.3,28.9,26,9.7
17.5,24.5,59.2,42.8,29.7,14.8
18.8,32.3,22.6,28.3,22.7,24.6
36.4,17.5,19.6,25.4,21.3,31.2
16.9,18.8,26.4,30.9,17.7,22.1
16.5,29.1,31.3,60,21.7,19.1
16.5,16.5,35.3,29,30.3,13.5
18.8,18.1,35,19.8,24.3,21.6
32.9,23.8,26.7,22.4,22.4,25.2
37.4,26,27.7,27.7,83.4,22.1
41.8,23.7,18.9,34.1,22.7,28.9
22.9,17.5,20.6,38.5,25.9,22.1
33.2,27.6,25.1,35.9,34,34
20.3,22.3,39.7,22.8,36.6,27.1
