,Bext,Time,Denuder
1,6.63E+01,11:00,Yes
2,1.64E+01,11:00,Yes
3,3.29E+01,11:00,Yes
4,1.06E+00,11:00,Yes
5,6.82E+00,11:00,Yes
6,7.94E+00,11:00,Yes
7,3.31E+01,11:00,Yes
8,1.05E+01,11:00,Yes
9,4.60E+00,11:00,Yes
10,1.70E+01,11:00,Yes
11,5.11E+01,11:00,Yes
12,1.45E+01,11:00,Yes
13,5.46E+01,11:00,Yes
14,5.51E+00,11:00,Yes
15,5.81E+00,11:00,Yes
16,1.10E+01,11:00,Yes
17,3.20E+01,11:00,Yes
18,1.98E+01,11:00,Yes
19,1.67E+01,11:00,Yes
20,5.72E+01,11:00,Yes
21,5.92E+00,11:00,Yes
22,2.35E+01,11:00,Yes
23,1.27E+01,11:00,Yes
24,1.12E+01,11:00,Yes
25,2.70E+01,11:00,Yes
26,4.03E+01,11:00,Yes
27,1.04E+01,11:00,Yes
28,2.22E+01,11:00,Yes
29,8.12E+00,11:00,Yes
30,1.34E+01,11:00,Yes
31,-2.36E+00,11:00,Yes
32,1.18E+01,11:00,Yes
33,8.98E+00,11:00,Yes
34,1.61E+00,11:00,Yes
35,7.10E+00,11:00,Yes
36,5.01E+00,11:00,Yes
37,9.04E+00,11:00,Yes
38,6.35E+01,11:00,Yes
39,1.28E+01,11:00,Yes
40,6.47E+01,11:00,Yes
41,3.04E+01,11:00,Yes
42,9.22E+00,11:00,Yes
43,5.60E+01,11:00,Yes
44,4.73E+00,11:00,Yes
45,3.81E+01,11:00,Yes
46,3.03E+01,11:00,Yes
47,6.32E+00,11:00,Yes
48,2.12E+00,11:00,Yes
49,1.54E+01,11:00,Yes
50,9.87E+00,11:00,Yes
51,1.17E+01,11:00,Yes
52,2.98E+01,11:00,Yes
53,2.56E+00,11:00,Yes
54,7.28E+00,11:00,Yes
55,1.19E+01,11:00,Yes
56,2.41E+01,11:00,Yes
57,1.31E+01,11:00,Yes
58,-4.73E-01,11:00,Yes
59,2.09E+00,11:00,Yes
60,1.71E+01,11:00,Yes
61,5.02E+00,11:00,Yes
62,9.20E+00,11:00,Yes
63,1.09E+01,11:00,Yes
64,1.59E+01,11:00,Yes
65,2.31E+01,11:00,Yes
66,2.87E+01,11:00,Yes
67,3.60E+00,11:00,Yes
68,7.73E+00,11:00,Yes
69,6.44E+00,11:00,Yes
70,7.45E+00,11:00,Yes
71,1.61E+00,11:00,Yes
72,1.35E+01,11:00,Yes
73,1.73E+02,11:00,Yes
74,3.40E+00,11:00,Yes
75,5.24E+01,11:00,Yes
76,9.60E+00,11:00,Yes
77,1.42E+01,11:00,Yes
78,2.62E+01,11:00,Yes
79,1.16E+01,11:00,Yes
80,8.95E+00,11:00,Yes
81,3.53E+00,11:00,Yes
82,2.53E+00,11:00,Yes
83,1.86E+01,11:00,Yes
