,Bscat,Time,Denuder
188,4.20E+00,11:00,Yes
189,2.25E+01,11:00,Yes
190,2.52E+00,11:00,Yes
191,3.11E+00,11:00,Yes
192,3.86E+00,11:00,Yes
193,8.66E+00,11:00,Yes
194,1.26E+01,11:00,Yes
195,1.74E+01,11:00,Yes
196,8.71E+00,11:00,Yes
197,3.25E+00,11:00,Yes
198,4.51E+01,11:00,Yes
199,9.16E+01,11:00,Yes
200,6.36E+01,11:00,Yes
201,3.82E+01,11:00,Yes
202,6.86E+00,11:00,Yes
203,6.41E+00,11:00,Yes
204,1.49E+00,11:00,Yes
205,-2.27E-01,11:00,Yes
206,2.71E+00,11:00,Yes
207,2.27E+01,11:00,Yes
208,4.87E+01,11:00,Yes
209,4.56E+01,11:00,Yes
210,7.03E+00,11:00,Yes
211,1.42E+01,11:00,Yes
212,7.54E+00,11:00,Yes
213,1.39E+01,11:00,Yes
214,2.80E+00,11:00,Yes
215,8.29E+00,11:00,Yes
216,6.80E+00,11:00,Yes
217,6.77E+00,11:00,Yes
218,7.22E+00,11:00,Yes
219,7.75E+00,11:00,Yes
220,1.18E+01,11:00,Yes
221,3.74E+01,11:00,Yes
222,3.47E+00,11:00,Yes
223,2.43E+01,11:00,Yes
224,2.70E+01,11:00,Yes
225,6.32E+01,11:00,Yes
226,3.03E+00,11:00,Yes
227,4.47E+00,11:00,Yes
228,1.84E+00,11:00,Yes
229,3.11E+00,11:00,Yes
230,3.88E+01,11:00,Yes
231,3.40E+00,11:00,Yes
232,7.55E+00,11:00,Yes
233,3.82E+00,11:00,Yes
234,3.13E+01,11:00,Yes
235,6.57E+00,11:00,Yes
236,1.09E+01,11:00,Yes
237,2.64E+01,11:00,Yes
238,4.55E+00,11:00,Yes
239,1.41E+01,11:00,Yes
240,2.32E+01,11:00,Yes
241,2.21E+01,11:00,Yes
242,2.06E+01,11:00,Yes
243,5.48E+00,11:00,Yes
244,3.19E+01,11:00,Yes
245,7.96E+00,11:00,Yes
246,1.27E+00,11:00,Yes
247,1.98E+01,11:00,Yes
248,6.94E+00,11:00,Yes
249,7.17E+00,11:00,Yes
250,1.12E+01,11:00,Yes
251,7.04E+00,11:00,Yes
252,6.43E+00,11:00,Yes
253,2.13E+00,11:00,Yes
254,4.39E+00,11:00,Yes
255,8.79E+00,11:00,Yes
256,1.29E+01,11:00,Yes
257,1.42E+01,11:00,Yes
258,2.18E+01,11:00,Yes
259,3.95E+01,11:00,Yes
260,1.96E+01,11:00,Yes
261,1.21E+01,11:00,Yes
262,5.67E+00,11:00,Yes
263,9.09E+00,11:00,Yes
264,1.01E+01,11:00,Yes
265,9.40E-01,11:00,Yes
266,1.91E+01,11:00,Yes
267,5.89E+00,11:00,Yes
268,1.70E+00,11:00,Yes
269,4.46E+00,11:00,Yes
270,2.82E+01,11:00,Yes
271,4.09E+00,11:00,Yes
272,3.46E+01,11:00,Yes
273,1.70E+01,11:00,Yes
274,3.92E+00,11:00,Yes
275,8.29E+00,11:00,Yes
276,4.02E+00,11:00,Yes
277,2.36E+00,11:00,Yes
278,8.39E+00,11:00,Yes
279,6.43E-01,11:00,Yes
280,3.50E+00,11:00,Yes
281,4.18E+00,11:00,Yes
282,7.01E+00,11:00,Yes
283,6.25E+00,11:00,Yes
284,8.37E+00,11:00,Yes
285,5.49E+01,11:00,Yes
286,1.14E+01,11:00,Yes
287,1.07E+01,11:00,Yes
288,6.93E+00,11:00,Yes
289,1.24E+01,11:00,Yes
290,9.32E+00,11:00,Yes
291,2.78E+00,11:00,Yes
292,6.05E+00,11:00,Yes
293,1.18E+01,11:00,Yes
294,7.68E+00,11:00,Yes
295,8.80E+00,11:00,Yes
296,1.54E+00,11:00,Yes
297,7.59E+00,11:00,Yes
298,5.39E+00,11:00,Yes
299,6.49E-01,11:00,Yes
300,4.28E+00,11:00,Yes
301,3.11E+01,11:00,Yes
302,8.09E+00,11:00,Yes
303,8.14E+00,11:00,Yes
304,8.42E+00,11:00,Yes
305,8.08E+00,11:00,Yes
306,7.18E+00,11:00,Yes
307,4.33E+01,11:00,Yes
308,4.38E+00,11:00,Yes
309,6.41E+00,11:00,Yes
310,1.32E+00,11:00,Yes
311,2.83E+01,11:00,Yes
312,1.53E+01,11:00,Yes
313,1.24E+01,11:00,Yes
314,1.28E+01,11:00,Yes
315,8.30E+00,11:00,Yes
316,2.98E+01,11:00,Yes
317,4.10E+00,11:00,Yes
318,5.58E+01,11:00,Yes
319,5.40E+01,11:00,Yes
320,6.90E+00,11:00,Yes
321,2.05E+01,11:00,Yes
322,4.84E+00,11:00,Yes
323,3.15E+00,11:00,Yes
324,6.13E+01,11:00,Yes
325,2.15E+01,11:00,Yes
326,1.27E+01,11:00,Yes
327,7.45E+00,11:00,Yes
328,1.98E+01,11:00,Yes
329,8.36E+00,11:00,Yes
330,6.08E+00,11:00,Yes
331,3.71E+01,11:00,Yes
332,2.16E+01,11:00,Yes
333,4.44E+00,11:00,Yes
334,2.46E+01,11:00,Yes
335,1.25E+01,11:00,Yes
336,1.15E+01,11:00,Yes
337,4.56E+00,11:00,Yes
338,9.89E+00,11:00,Yes
339,2.06E+01,11:00,Yes
340,1.64E+01,11:00,Yes
341,8.18E+01,11:00,Yes
342,2.16E+01,11:00,Yes
343,2.25E+01,11:00,Yes
344,6.06E+00,11:00,Yes
345,3.02E+01,11:00,Yes
346,5.00E+00,11:00,Yes
347,5.11E+00,11:00,Yes
348,6.54E+00,11:00,Yes
349,4.10E+01,11:00,Yes
350,6.04E+00,11:00,Yes
351,1.33E+01,11:00,Yes
352,3.27E+01,11:00,Yes
353,9.60E+00,11:00,Yes
354,1.92E+01,11:00,Yes
355,3.05E+01,11:00,Yes
356,3.20E+00,11:00,Yes
357,3.65E+00,11:00,Yes
358,5.98E+01,11:00,Yes
359,1.03E+01,11:00,Yes
360,5.85E+00,11:00,Yes
361,1.62E+01,11:00,Yes
362,8.49E+00,11:00,Yes
363,9.94E+00,11:00,Yes
364,2.56E+00,11:00,Yes
365,7.56E+00,11:00,Yes
366,1.96E+01,11:00,Yes
367,1.38E+01,11:00,Yes
368,3.03E+01,11:00,Yes
369,2.87E+01,11:00,Yes
370,1.22E+01,11:00,Yes
371,1.33E+01,11:00,Yes
