Qext,Qscat,Qabs
2.734823629,0.861946875,1.872876754
2.738195816,0.866985023,1.871210793
2.741477026,0.871974104,1.869502922
2.744668736,0.876913967,1.867754769
2.74777243,0.881804486,1.865967943
2.750789592,0.886645555,1.864144038
2.753721715,0.891437088,1.862284627
2.756570292,0.896179025,1.860391267
2.759336817,0.900871321,1.858465496
2.762022787,0.905513955,1.856508831
2.764629698,0.910106926,1.854522773
2.767159047,0.914650249,1.852508798
2.769612329,0.919143963,1.850468366
2.771991036,0.923588122,1.848402915
2.77429666,0.927982799,1.846313861
2.776530686,0.932328087,1.844202599
2.778694599,0.936624094,1.842070505
2.780789877,0.940870947,1.83991893
2.782817993,0.945068787,1.837749206
2.784780415,0.949217774,1.83556264
2.786678603,0.953318083,1.83336052
2.788514013,0.957369904,1.831144109
2.790288091,0.961373442,1.82891465
2.792002276,0.965328916,1.82667336
2.793657998,0.969236561,1.824421438
2.795256679,0.973096624,1.822160055
2.796799731,0.976909367,1.819890364
2.798288556,0.980675063,1.817613493
2.799724547,0.984394,1.815330547
2.801109083,0.988066476,1.813042608
2.802443537,0.991692801,1.810750736
2.803729266,0.995273299,1.808455968
2.804967619,0.998808301,1.806159318
2.80615993,1.002298151,1.803861778
2.807307522,1.005743205,1.801564317
2.808411705,1.009143824,1.799267881
2.809473776,1.012500384,1.796973393
2.81049502,1.015813266,1.794681754
2.811476706,1.019082861,1.792393845
2.812420091,1.022309571,1.790110521
2.813326418,1.025493801,1.787832617
2.814196915,1.028635969,1.785560946
2.815032797,1.031736498,1.783296299
2.815835262,1.034795817,1.781039445
2.816605495,1.037814364,1.778791131
2.817344667,1.040792582,1.776552085
2.818053931,1.043730921,1.77432301
2.818734427,1.046629836,1.772104591
2.819387279,1.049489788,1.76989749
2.820013594,1.052311243,1.767702351
2.820614467,1.055094673,1.765519794
2.821190974,1.057840553,1.763350421
2.821744176,1.060549363,1.761194813
2.822275118,1.063221586,1.759053531
2.822784829,1.065857712,1.756927117
2.823274323,1.068458231,1.754816091
2.823744595,1.071023639,1.752720957
2.824196628,1.073554432,1.750642196
2.824631384,1.07605111,1.748580274
2.825049813,1.078514178,1.746535634
2.825452844,1.08094414,1.744508704
2.825841395,1.083341503,1.742499892
2.826216362,1.085706775,1.740509587
2.826578629,1.088040468,1.738538161
2.826929061,1.090343093,1.736585967
2.827268507,1.092615163,1.734653344
2.8275978,1.094857191,1.732740608
2.827917755,1.097069692,1.730848063
2.828229173,1.09925318,1.728975993
2.828532837,1.101408171,1.727124666
2.828829513,1.103535179,1.725294334
2.829119951,1.105634719,1.723485232
2.829404885,1.107707306,1.721697579
2.829685032,1.109753454,1.719931578
2.829961092,1.111773675,1.718187417
2.830233751,1.113768483,1.716465268
2.830503675,1.115738388,1.714765287
2.830771518,1.117683901,1.713087617
2.831037913,1.119605529,1.711432384
2.831303481,1.121503781,1.7097997
2.831568823,1.123379161,1.708189663
2.831834528,1.125232172,1.706602356
2.832101165,1.127063315,1.70503785
2.832369289,1.12887309,1.703496199
2.832639439,1.130661993,1.701977447
2.832912138,1.132430518,1.700481621
2.833187893,1.134179156,1.699008737
2.833467194,1.135908396,1.697558798
2.833750518,1.137618723,1.696131795
2.834038323,1.13931062,1.694727703
2.834331054,1.140984566,1.693346488
2.834629139,1.142641036,1.691988103
2.834932993,1.144280504,1.690652489
2.835243012,1.145903437,1.689339575
2.835559579,1.147510301,1.688049278
2.835883063,1.149101557,1.686781506
2.836213814,1.150677661,1.685536152
2.83655217,1.152239067,1.684313103
2.836898455,1.153786224,1.683112231
2.837252974,1.155319575,1.681933399
2.837616022,1.156839561,1.680776462
2.837987877,1.158346617,1.67964126
2.838368802,1.159841173,1.678527629
2.838759047,1.161323657,1.67743539
2.839158846,1.162794487,1.676364359
2.839568422,1.164254082,1.675314339
2.839987979,1.165702852,1.674285128
2.840417712,1.167141202,1.673276511
2.8408578,1.168569533,1.672288267
2.841308407,1.169988241,1.671320166
2.841769686,1.171397715,1.670371971
2.842241774,1.172798339,1.669443435
2.842724796,1.174190492,1.668534304
2.843218865,1.175574548,1.667644317
2.843724078,1.176950873,1.666773205
2.844240522,1.178319828,1.665920694
2.844768269,1.17968177,1.665086499
2.845307379,1.181037046,1.664270333
2.8458579,1.182386002,1.663471899
2.846419868,1.183728973,1.662690895
2.846993306,1.185066292,1.661927014
2.847578224,1.186398282,1.661179942
2.848174622,1.187725261,1.66044936
2.848782487,1.189047543,1.659734944
2.849401796,1.190365433,1.659036363
2.850032512,1.191679228,1.658353283
2.850674589,1.192989223,1.657685366
2.851327969,1.194295702,1.657032267
2.851992583,1.195598945,1.656393638
2.852668353,1.196899225,1.655769128
2.853355187,1.198196807,1.655158381
2.854052987,1.199491949,1.654561038
2.85476164,1.200784905,1.653976736
2.855481028,1.202075918,1.65340511
2.85621102,1.203365229,1.652845791
2.856951475,1.204653067,1.652298408
2.857702246,1.205939658,1.651762588
2.858463174,1.207225219,1.651237955
2.859234091,1.20850996,1.650724131
2.860014822,1.209794085,1.650220737
2.860805182,1.211077791,1.649727391
2.861604978,1.212361266,1.649243713
2.86241401,1.213644693,1.648769317
2.863232069,1.214928248,1.648303821
2.864058937,1.216212098,1.647846839
2.864894391,1.217496405,1.647397986
2.865738201,1.218781324,1.646956877
2.866590127,1.220067,1.646523127
2.867449924,1.221353574,1.64609635
2.868317342,1.222641179,1.645676163
2.869192122,1.223929942,1.64526218
2.870074001,1.22521998,1.644854021
2.870962708,1.226511407,1.644451302
2.871857969,1.227804327,1.644053643
2.872759503,1.229098838,1.643660666
2.873667024,1.230395031,1.643271993
2.874580242,1.231692992,1.64288725
2.875498861,1.232992798,1.642506063
2.876422581,1.234294519,1.642128062
2.877351099,1.23559822,1.64175288
2.878284108,1.236903957,1.64138015
2.879221295,1.238211783,1.641009512
2.880162347,1.239521741,1.640640606
2.881106946,1.240833869,1.640273077
2.88205477,1.242148199,1.639906572
2.883005497,1.243464754,1.639540743
2.883958801,1.244783554,1.639175247
2.884914355,1.246104611,1.638809743
2.885871827,1.247427932,1.638443896
2.886830888,1.248753515,1.638077372
2.887791204,1.250081356,1.637709847
2.888752441,1.251411443,1.637340998
2.889714265,1.252743757,1.636970508
2.89067634,1.254078275,1.636598065
2.89163833,1.255414968,1.636223362
2.892599899,1.256753801,1.635846098
2.893560711,1.258094734,1.635465977
2.894520431,1.259437722,1.635082709
2.895478723,1.260782713,1.63469601
2.896435253,1.262129651,1.634305602
2.897389688,1.263478475,1.633911213
2.898341695,1.264829119,1.633512576
2.899290943,1.266181511,1.633109432
2.900237105,1.267535577,1.632701527
2.901179852,1.268891236,1.632288615
2.902118859,1.270248403,1.631870456
2.903053805,1.271606989,1.631446817
2.903984369,1.272966899,1.63101747
2.904910234,1.274328038,1.630582196
2.905831085,1.275690302,1.630140782
2.906746611,1.277053587,1.629693024
2.907656504,1.278417782,1.629238722
2.908560461,1.279782776,1.628777685
2.90945818,1.281148451,1.628309729
2.910349365,1.282514688,1.627834677
2.911233724,1.283881364,1.62735236
2.912110968,1.285248352,1.626862616
2.912980814,1.286615524,1.62636529
2.913842983,1.287982747,1.625860235
2.914697199,1.289349887,1.625347312
2.915543195,1.290716807,1.624826388
2.916380705,1.292083366,1.624297339
2.917209471,1.293449423,1.623760048
2.918029239,1.294814834,1.623214405
2.91883976,1.296179453,1.622660307
2.919640793,1.297543131,1.622097662
2.9204321,1.29890572,1.621526381
2.921213452,1.300267067,1.620946385
2.921984622,1.30162702,1.620357602
2.922745393,1.302985425,1.619759968
2.923495552,1.304342126,1.619153426
2.924234892,1.305696968,1.618537925
2.924963215,1.307049792,1.617913423
2.925680327,1.308400442,1.617279886
2.926386042,1.309748757,1.616637285
2.927080179,1.31109458,1.615985599
2.927762565,1.31243775,1.615324815
2.928433035,1.313778108,1.614654927
2.929091428,1.315115493,1.613975935
2.929737592,1.316449746,1.613287846
2.930371382,1.317780707,1.612590675
2.930992658,1.319108215,1.611884442
2.931601289,1.320432113,1.611169176
2.932197152,1.321752242,1.61044491
2.932780127,1.323068442,1.609711685
2.933350106,1.324380557,1.608969549
2.933906985,1.325688431,1.608218554
2.934450668,1.326991907,1.607458761
2.934981066,1.328290832,1.606690234
2.935498098,1.329585051,1.605913047
2.936001689,1.330874414,1.605127275
2.936491772,1.332158769,1.604333003
2.936968286,1.333437967,1.603530319
2.937431179,1.334711861,1.602719318
2.937880404,1.335980305,1.601900099
2.938315923,1.337243155,1.601072767
2.938737703,1.338500269,1.600237434
2.939145719,1.339751507,1.599394212
2.939539954,1.34099673,1.598543224
2.939920395,1.342235803,1.597684593
2.94028704,1.343468592,1.596818448
2.940639889,1.344694965,1.595944924
2.940978953,1.345914795,1.595064158
2.941304247,1.347127953,1.594176293
2.941615793,1.348334317,1.593281476
2.941913619,1.349533764,1.592379855
2.942197763,1.350726177,1.591471585
2.942468264,1.351911439,1.590556824
2.94272517,1.353089437,1.589635733
2.942968537,1.354260061,1.588708475
2.943198423,1.355423204,1.587775219
2.943414895,1.35657876,1.586836134
2.943618025,1.35772663,1.585891395
2.94380789,1.358866713,1.584941177
2.943984574,1.359998916,1.583985658
2.944148167,1.361123146,1.58302502
2.944298762,1.362239315,1.582059447
2.944436459,1.363347336,1.581089123
2.944561364,1.364447127,1.580114237
2.944673587,1.36553861,1.579134977
2.944773243,1.366621709,1.578151535
2.944860452,1.36769635,1.577164102
2.94493534,1.368762466,1.576172874
2.944998036,1.36981999,1.575178046
2.945048673,1.37086886,1.574179813
2.945087391,1.371909018,1.573178373
2.945114333,1.372940408,1.572173925
2.945129646,1.373962978,1.571166668
2.94513348,1.374976679,1.5701568
2.94512599,1.375981468,1.569144523
2.945107336,1.376977301,1.568130035
2.94507768,1.377964141,1.567113539
2.945037187,1.378941954,1.566095233
2.944986027,1.379910708,1.565075319
2.944924372,1.380870375,1.564053997
2.944852397,1.381820931,1.563031466
2.944770282,1.382762356,1.562007927
2.944678207,1.383694631,1.560983577
2.944576357,1.384617743,1.559958615
2.944464919,1.385531681,1.558933237
2.94434408,1.386436438,1.557907642
2.944214033,1.38733201,1.556882023
2.94407497,1.388218396,1.555856574
2.943927088,1.389095599,1.554831489
2.943770583,1.389963624,1.553806959
2.943605655,1.390822482,1.552783174
2.943432505,1.391672184,1.551760321
