,Babs,Time,Denuder
1,5.63E+00,11:00,Yes
2,-1.79E+00,11:00,Yes
3,2.56E+00,11:00,Yes
4,-3.94E+00,11:00,Yes
5,-9.95E-01,11:00,Yes
6,-2.26E+00,11:00,Yes
7,2.34E+00,11:00,Yes
8,5.90E+00,11:00,Yes
9,-4.52E+00,11:00,Yes
10,3.39E+00,11:00,Yes
11,5.99E+00,11:00,Yes
12,-1.92E+00,11:00,Yes
13,2.93E+00,11:00,Yes
14,-6.20E+00,11:00,Yes
15,2.89E-01,11:00,Yes
16,1.45E+00,11:00,Yes
17,-6.25E-02,11:00,Yes
18,2.49E+00,11:00,Yes
19,7.09E-01,11:00,Yes
20,-2.75E+00,11:00,Yes
21,-9.18E-02,11:00,Yes
22,-6.82E-01,11:00,Yes
23,8.93E+00,11:00,Yes
24,-1.71E+00,11:00,Yes
25,-2.73E-01,11:00,Yes
26,-7.70E-01,11:00,Yes
27,4.96E+00,11:00,Yes
28,3.91E+00,11:00,Yes
29,-2.56E+00,11:00,Yes
30,3.21E+00,11:00,Yes
31,-6.48E+00,11:00,Yes
32,3.14E+00,11:00,Yes
33,4.68E-01,11:00,Yes
34,-3.66E+00,11:00,Yes
35,3.00E+00,11:00,Yes
36,-4.17E-01,11:00,Yes
37,1.97E+00,11:00,Yes
38,-4.86E+00,11:00,Yes
39,-1.98E+00,11:00,Yes
40,-1.42E+00,11:00,Yes
41,-2.91E+00,11:00,Yes
42,-1.79E+00,11:00,Yes
43,-1.70E+00,11:00,Yes
44,-3.56E-01,11:00,Yes
45,3.18E-01,11:00,Yes
46,-1.86E-01,11:00,Yes
47,-5.48E-01,11:00,Yes
48,-8.32E+00,11:00,Yes
49,6.12E+00,11:00,Yes
50,1.90E-01,11:00,Yes
51,1.97E+00,11:00,Yes
52,2.77E+00,11:00,Yes
53,-6.67E+00,11:00,Yes
54,-1.57E+00,11:00,Yes
55,-7.02E+00,11:00,Yes
56,-8.72E-01,11:00,Yes
57,-1.98E+00,11:00,Yes
58,-1.72E+00,11:00,Yes
59,-1.93E+00,11:00,Yes
60,9.26E+00,11:00,Yes
61,-1.07E+00,11:00,Yes
62,1.79E+00,11:00,Yes
63,-1.44E+00,11:00,Yes
64,-2.80E+00,11:00,Yes
65,2.89E+00,11:00,Yes
66,5.62E+00,11:00,Yes
67,-2.04E+00,11:00,Yes
68,5.71E-01,11:00,Yes
69,-7.18E+00,11:00,Yes
70,2.18E+00,11:00,Yes
71,1.07E+00,11:00,Yes
72,2.06E+00,11:00,Yes
73,4.61E+00,11:00,Yes
74,-7.62E+00,11:00,Yes
75,4.63E+00,11:00,Yes
76,-2.94E-01,11:00,Yes
77,3.78E+00,11:00,Yes
78,-1.22E+00,11:00,Yes
79,1.87E+00,11:00,Yes
80,-1.13E-01,11:00,Yes
81,-3.80E+00,11:00,Yes
82,-1.06E+00,11:00,Yes
83,8.28E-01,11:00,Yes
84,1.82E+00,11:00,Yes
85,-4.39E-03,11:00,Yes
86,-1.41E+00,11:00,Yes
87,-1.95E+00,11:00,Yes
