Bext,Bscat,Babs
0.015064725,0.005208597,0.009856128
0.015019632,0.005210937,0.009808694
0.014974554,0.005213005,0.009761549
0.014929501,0.005214806,0.009714695
0.014884479,0.005216345,0.009668134
0.014839495,0.005217624,0.009621871
0.014794556,0.005218649,0.009575907
0.014749668,0.005219424,0.009530245
0.014704839,0.005219953,0.009484887
0.014660075,0.00522024,0.009439835
0.014615382,0.005220291,0.009395091
0.014570766,0.005220108,0.009350658
0.014526233,0.005219697,0.009306536
0.01448179,0.005219062,0.009262728
0.014437441,0.005218207,0.009219234
0.014393192,0.005217136,0.009176056
0.014349049,0.005215853,0.009133196
0.014305016,0.005214363,0.009090653
0.0142611,0.00521267,0.00904843
0.014217304,0.005210778,0.009006526
0.014173634,0.005208692,0.008964943
0.014130095,0.005206414,0.00892368
0.01408669,0.005203951,0.00888274
0.014043425,0.005201305,0.008842121
0.014000304,0.00519848,0.008801823
0.01395733,0.005195482,0.008761848
0.013914508,0.005192313,0.008722195
0.013871842,0.005188978,0.008682864
0.013829335,0.005185481,0.008643854
0.013786991,0.005181825,0.008605166
0.013744814,0.005178015,0.008566799
0.013702807,0.005174054,0.008528752
0.013660973,0.005169947,0.008491026
0.013619315,0.005165697,0.008453618
0.013577837,0.005161307,0.008416529
0.01353654,0.005156782,0.008379758
0.013495429,0.005152126,0.008343304
0.013454506,0.005147341,0.008307165
0.013413773,0.005142432,0.008271341
0.013373232,0.005137402,0.008235831
0.013332887,0.005132254,0.008200633
0.013292739,0.005126993,0.008165746
0.01325279,0.005121622,0.008131169
0.013213043,0.005116143,0.0080969
0.013173499,0.005110561,0.008062938
0.01313416,0.005104879,0.008029282
0.013095029,0.0050991,0.007995929
0.013056106,0.005093227,0.007962878
0.013017393,0.005087264,0.007930128
0.012978891,0.005081214,0.007897677
0.012940603,0.00507508,0.007865522
0.012902528,0.005068865,0.007833663
0.012864669,0.005062572,0.007802097
0.012827026,0.005056204,0.007770821
0.0127896,0.005049765,0.007739836
0.012752393,0.005043256,0.007709137
0.012715405,0.005036682,0.007678723
0.012678637,0.005030044,0.007648593
0.012642089,0.005023346,0.007618743
0.012605762,0.005016591,0.007589171
0.012569657,0.00500978,0.007559877
0.012533774,0.005002917,0.007530856
0.012498113,0.004996005,0.007502107
0.012462674,0.004989046,0.007473628
0.012427459,0.004982043,0.007445416
0.012392466,0.004974997,0.007417469
0.012357696,0.004967913,0.007389784
0.01232315,0.004960791,0.007362359
0.012288826,0.004953635,0.007335191
0.012254725,0.004946446,0.007308279
0.012220846,0.004939227,0.007281619
0.01218719,0.004931981,0.007255209
0.012153756,0.004924709,0.007229047
0.012120544,0.004917414,0.007203129
0.012087552,0.004910098,0.007177454
0.012054781,0.004902763,0.007152018
0.01202223,0.00489541,0.00712682
0.011989899,0.004888043,0.007101856
0.011957786,0.004880663,0.007077124
0.011925891,0.004873271,0.007052621
0.011894214,0.00486587,0.007028344
0.011862753,0.004858461,0.007004292
0.011831507,0.004851047,0.00698046
0.011800476,0.004843629,0.006956847
0.011769659,0.004836209,0.00693345
0.011739054,0.004828788,0.006910266
0.011708661,0.004821369,0.006887292
0.011678478,0.004813952,0.006864526
0.011648505,0.004806539,0.006841965
0.011618739,0.004799132,0.006819607
0.01158918,0.004791733,0.006797447
0.011559827,0.004784342,0.006775485
0.011530678,0.004776961,0.006753717
0.011501732,0.004769592,0.00673214
0.011472987,0.004762235,0.006710752
0.011444442,0.004754892,0.00668955
0.011416096,0.004747565,0.006668531
0.011387947,0.004740254,0.006647693
0.011359993,0.004732961,0.006627032
0.011332233,0.004725686,0.006606547
